FormID, EditorID, Name, Description, Weight, Unknown1, Unknown2, Unknown3, Unknown4, Unknown5, Unknown6, Unknown7, Unknown8, Unknown9, Unknown10, Unknown11, Unknown12, Unknown13, Unknown14, Model
0x00002449, "Drink_NonAlc_ToGoCup_Tranquilitea_TeaBlack", "Tranquilitea Classic", "Tranquilitea's classic black tea.", "0.300000", "75", "3", "0", "0", "77483592", "1354886949", "303218672", "-2104075378", "0", "0", "0", "0", "0", "0", "SetDressing\Tranquilitea\TranquiliteaToGoCupFull01.nif"
0x00003A1F, "Food_Produce_Onion", "Onion", "A common yellow onion. Delicious sautéed and in soups.", "0.200000", "35", "3", "0", "0", "657081068", "1210591201", "1368686986", "-1684118112", "0", "0", "0", "0", "0", "0", "Items\FoodDrink_SingleItems\All_Packaged_Consumables\Food_Produce_Onion.nif"
0x00003A21, "Food_Produce_Pear", "Pear", "Explorers were shocked when they discovered an alien fruit with the exact shape and flavor of an Earth pear.", "0.200000", "35", "3", "0", "0", "657081068", "1210591201", "1368686986", "-1684118112", "0", "0", "0", "0", "0", "0", "Items\FoodDrink_SingleItems\All_Packaged_Consumables\Food_Produce_Pear.nif"
0x00003A22, "Food_Produce_Orange", "Orange", "Sweet and delicious. Grown from seeds originally harvested from Earth.", "0.200000", "35", "3", "0", "0", "657081068", "1210591201", "1368686986", "-1684118112", "0", "0", "0", "0", "0", "0", "Items\FoodDrink_SingleItems\All_Packaged_Consumables\Food_Produce_Orange.nif"
0x00003A23, "Food_Produce_Peach", "Peach", "The Settled Systems has many varieties of peach - alien, synthetic and grown from Earth seeds. All are sweet and delicious.", "0.200000", "35", "3", "0", "0", "657081068", "1210591201", "1368686986", "-1684118112", "0", "0", "0", "0", "0", "0", "Items\FoodDrink_SingleItems\All_Packaged_Consumables\Food_Produce_Peach.nif"
0x00003A26, "Food_Produce_Potato", "Potato", "Can be prepared many ways. Boiled, mashed, used in a stew - the recipes are nearly limitless.", "0.200000", "35", "3", "0", "0", "657081068", "1210591201", "1368686986", "-1684118112", "0", "0", "0", "0", "0", "0", "Items\FoodDrink_SingleItems\All_Packaged_Consumables\Food_Produce_Potato.nif"
0x00003A27, "Food_Produce_Plum", "Plum", "Excellent for digestive health. Commonly dried and eaten as prunes, or used in pudding recipes.", "0.200000", "35", "3", "0", "0", "657081068", "1210591201", "1368686986", "-1684118112", "0", "0", "0", "0", "0", "0", "Items\FoodDrink_SingleItems\All_Packaged_Consumables\Food_Produce_Plum.nif"
0x0000ABF9, "Aid_MedPack", "Med Pack", "The standard emergency medical kit of the Settled Systems.", "0.100000", "525", "65537", "0", "0", "172837018", "1694032512", "512649467", "-1229187308", "0", "0", "0", "0", "0", "0", "Items\MedStim01.nif"
0x000127BE, "EatPackageDefaultFoodPotion", "", "", "0.000000", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", ""
0x0001BBAA, "Drink_Alc_DrinkPack_RedHarvest_BeerPaleAle", "Red Harvest Pale Ale", "A delicious, synthetically-crafted pale ale.", "0.300000", "155", "3", "0", "0", "-1412676596", "-1143712283", "-1413906666", "-1276904839", "0", "0", "0", "0", "0", "0", "Items\FoodDrink_SingleItems\all_packaged_consumables\beveragedrinkpack_redh_paleale.nif"
0x0001BBAB, "Drink_Alc_DrinkPack_RedHarvest_BeerAmberAle", "Red Harvest Amber Ale", "A delicious, synthetically-crafted amber ale.", "0.300000", "155", "3", "0", "0", "-1412676596", "-1143712283", "-1413906666", "-1276904839", "0", "0", "0", "0", "0", "0", "Items\FoodDrink_SingleItems\all_packaged_consumables\beveragedrinkpack_amberale.nif"
0x0001BBAC, "Drink_Alc_DrinkPack_RedHarvest_BeerMilkStout", "Red Harvest Milk Stout", "A delicious, synthetically-crafted milk stout.", "0.300000", "155", "3", "0", "0", "-1412676596", "-1143712283", "-1413906666", "-1276904839", "0", "0", "0", "0", "0", "0", "Items\FoodDrink_SingleItems\all_packaged_consumables\beveragedrinkpack_redh_milkstout.nif"
0x000304CC, "Drink_NonAlc_DrinkPouch_Generic_SparklingWater", "Sparkling Water", "Clear sparkling water.", "0.300000", "75", "3", "0", "0", "-110739004", "960167265", "629131727", "-1997972740", "0", "0", "0", "0", "0", "0", "Items\FoodDrink_SingleItems\FoodPackets_CrystalPouch\FoodPackets_CrystalPouch.nif"
0x000304CE, "Food_Packets_FoodPouch", "FullFood Spiced Worms", "Fried and spiced alien worms. Guaranteed safe, and loaded with protein.", "0.300000", "75", "3", "0", "0", "1376733324", "190233310", "-1952308033", "-1163678624", "0", "0", "0", "0", "0", "0", "Items\FoodPackets_FoodPouch.nif"
0x000304D0, "Food_ButchersBest_MultiMeat", "Synthameat Multi", "Butcher's Best animal protein blend. Made from Synthameat, the Settled Systems premiere synthetic meat product.", "0.300000", "140", "3", "0", "0", "798705437", "-780181922", "-647175907", "-2123053533", "0", "0", "0", "0", "0", "0", "Items\FoodDrink_SingleItems\all_packaged_consumables\foodpackets_multimeat.nif"
0x0003614B, "Drink_Alc_Boxed_RedHarvest_WhiskeyDoubleMalt", "Red Harvest Double Malt Whiskey", "A popular and powerful double malt whiskey, brewed by Red Harvest.", "0.300000", "240", "3", "0", "0", "-110739004", "960167265", "629131727", "-1997972740", "0", "0", "0", "0", "0", "0", "Items\FoodDrink_SingleItems\all_packaged_consumables\beveragedrinkpack_redh_dmalt.nif"
0x0003614C, "Drink_Alc_Boxed_RedHarvest_WhiskeySingleMalt", "Red Harvest Single Malt Whiskey", "A smooth, sophisticated single malt whiskey, brewed by Red Harvest.", "0.300000", "240", "3", "0", "0", "-110739004", "960167265", "629131727", "-1997972740", "0", "0", "0", "0", "0", "0", "Items\FoodDrink_SingleItems\all_packaged_consumables\beveragedrinkpack_redh_singlem_whiskey.nif"
0x0003D3A8, "NOCLUTTER_FFParadisioZ03_Drink_NonAlc_ExclMenuItem_CafeLuxe_CafeetthePrime", "Café et thé Prime", "A blend of coffee and tea, legally distinct from any Tranquilitea beverage.", "0.300000", "140", "3", "0", "0", "-110739004", "960167265", "629131727", "-1997972740", "0", "0", "0", "0", "0", "0", "Items\FoodDrink_SingleItems\all_crated_consumables\CraftedFood_Container_BulletCoffee.nif"
0x0003D3A9, "Aid_Affl_Antibiotics_02", "Antibiotic Cocktail", "A mix of multiple antibiotics. Used for treating afflictions.", "0.100000", "415", "65537", "0", "0", "-1598733509", "-11446678", "-1185069721", "-1759609357", "0", "0", "0", "0", "0", "0", "Items\Drugs_Or_medical\Affliction_Cures\AfflictionCure_Antibiotics_Green_01.nif"
0x0003D3AA, "Aid_Affl_Bandages_02", "Zipper Bandages", "Stronger and more effective bandages. Used for treating afflictions.", "0.100000", "360", "65537", "0", "0", "-1598733509", "-11446678", "-1185069721", "-1759609357", "0", "0", "0", "0", "0", "0", "Items\Drugs_Or_medical\Affliction_Cures\AfflictionCure_Ziipper_Bandaids_Red_01.nif"
0x0003D3AB, "Aid_Affl_HealPaste_02", "Heal Gel", "A medicated gel for treating severe burns and frostbite. Used for treating afflictions.", "0.100000", "510", "65537", "0", "0", "-1598733509", "-11446678", "-1185069721", "-1759609357", "0", "0", "0", "0", "0", "0", "Items\Drugs_Or_medical\Affliction_Cures\AfflictionCure_Heal_Paste_Red_01.nif"
0x0003D3AC, "Aid_Affl_Injector_02", "Boosted Injector", "An improved injector. Used for treating afflictions.", "0.100000", "450", "65537", "0", "0", "-1598733509", "-11446678", "-1185069721", "-1759609357", "0", "0", "0", "0", "0", "0", "Items\Drugs_Or_medical\Affliction_Cures\AfflictionCure_Injector_Green_01.nif"
0x0003D3AD, "Aid_Affl_Immobilizer_02", "Anchored Immobilizers", "A reinforced immobilizer, for particularly bad injuries. Used for treating afflictions.", "0.100000", "400", "65537", "0", "0", "-1598733509", "-11446678", "-1185069721", "-1759609357", "0", "0", "0", "0", "0", "0", "Items\Drugs_Or_medical\Affliction_Cures\AfflictionCure_Immobilizer_Blue_01.nif"
0x0003D3AE, "Aid_Affl_Multi_AntibioticPaste", "Antibiotic Paste", "Combines the effects of antibiotics and heal paste. Used for treating afflictions.", "0.100000", "430", "65537", "0", "0", "-1598733509", "-11446678", "-1185069721", "-1759609357", "0", "0", "0", "0", "0", "0", "Items\Drugs_Or_medical\Affliction_Cures\AfflictionCure_Heal_Paste_Green_01.nif"
0x0003D3AF, "Aid_Affl_Multi_AntibioticInjector", "Antibiotic Injector", "Combines the effects of antibiotics and injectors into one package. Used for treating afflictions.", "0.100000", "325", "65537", "0", "0", "-1598733509", "-11446678", "-1185069721", "-1759609357", "0", "0", "0", "0", "0", "0", "Items\Drugs_Or_medical\Affliction_Cures\AfflictionCure_Injector_Green_01.nif"
