FormID, EditorID, Name, Value, Weight, Unknown3, Model
0x00000D64, "Skin_Naked", "", "0", "0.000000", "0", ""
0x000028A5, "Clothes_Medical_Doctor_01_Medic", "Medic Uniform", "225", "1.200000", "0", "SetDressing\OutfitContainer01.nif"
0x000028A6, "Clothes_Medical_Doctor_01_Reliant", "Reliant Medical Uniform", "225", "1.200000", "0", "SetDressing\OutfitContainer01.nif"
0x00002FA4, "Clothes_Naked_Body_SwimSuit", "Swimsuit", "94", "0.300000", "0", "SetDressing\OutfitContainer01.nif"
0x00003A77, "Spacesuit_Trait_KidStuff_Backpack_NoBoostPack", "High School Backpack", "730", "4.800000", "0", "Clothes\Spacesuit_GroundCrew\spacesuit_groundcrew_01_backpack_go.nif"
0x00003BF6, "Clothes_Resortwear_01", "Resort Wear", "165", "1.100000", "0", "SetDressing\OutfitContainer01.nif"
0x00003C4D, "Clothes_Resortwear_02", "Resort Wear", "165", "1.100000", "0", "SetDressing\OutfitContainer01.nif"
0x00003C4E, "Clothes_Resortwear_03", "Resort Wear", "165", "1.100000", "0", "SetDressing\OutfitContainer01.nif"
0x00003E8F, "SpaceSuit_SpaceTrucker_Generic_Helmet", "Star Roamer Space Helmet", "745", "2.200000", "0", "Clothes\Spacesuit_SpaceTrucker\Spacesuit_SpaceTrucker_Helmet_GO.nif"
0x00003E90, "SpaceSuit_SpaceTrucker_Generic_Backpack", "Star Roamer", "900", "6.300000", "0", "Clothes\Spacesuit_SpaceTrucker\Spacesuit_SpaceTrucker_Backpack_GO.nif"
0x00004E78, "Spacesuit_SpaceTrucker_Generic", "Star Roamer Spacesuit", "3140", "7.800000", "0", "SetDressing\SpaceSuitContainer01.nif"
0x000055EB, "Clothes_Varuun_Ambassador_Tomisar", "Tomisar's Outfit", "675", "1.300000", "0", "SetDressing\OutfitContainer01.nif"
0x00009CC5, "Clothes_Civilian_RubberPants_Jacket_04", "Flashy Leatherwear", "225", "1.100000", "0", "SetDressing\OutfitContainer01.nif"
0x00009CC6, "Clothes_Civilian_RubberPants_Jacket_02", "Synth Leatherwear", "225", "1.100000", "0", "SetDressing\OutfitContainer01.nif"
0x00009CC7, "Clothes_Civilian_RubberPants_Jacket_03", "Leatherwear", "225", "1.100000", "0", "SetDressing\OutfitContainer01.nif"
0x00009CC8, "Clothes_Civilian_RubberPants_02", "Operator Leatherwear", "225", "1.300000", "0", "SetDressing\OutfitContainer01.nif"
0x0000B09E, "Skin_HopperA_AAhopper", "", "0", "0.000000", "0", ""
0x00010447, "Clothes_CrimsonFleet_Captain_Kryx_CORPSE_NOTPLAYABLE", "KRYX Corpse", "0", "0.100000", "0", "SetDressing\OutfitContainer01.nif"
0x00015510, "Skin_Child_NOTPLAYABLE", "", "0", "0.000000", "0", ""
0x00015B19, "Skin_OctopedeA_ScorpionNoTailA", "", "0", "0.000000", "0", ""
0x00015C9D, "Clothes_BusinessSuitFashionable_Proctor_01", "Proctor Uniform", "225", "1.200000", "0", "SetDressing\OutfitContainer01.nif"
0x00015CA8, "RI02_PlayerBusinessSuit", "Fitted Business Suit", "525", "1.200000", "0", "SetDressing\OutfitContainer01.nif"
0x0001754D, "Spacesuit_Mark1_Body", "Mark I Spacesuit", "35410", "7.500000", "0", "SetDressing\SpaceSuitContainer01.nif"
0x0001754E, "Spacesuit_Mark1_Backpack", "Mark I", "11655", "7.100000", "0", "Clothes\spacesuit_suitzero\SpaceSuit_SuitZero_Backpack_GO.nif"
0x0001754F, "Spacesuit_Mark1_Helmet", "Mark I Space Helmet", "9255", "2.300000", "0", "Clothes\spacesuit_suitzero\SpaceSuit_SuitZero_Helmet_GO.nif"
