FormID, EditorID, Title, Value, Weight, Model
0x00001CF1, "CF_KryxHistoryInterview_Slate001", "SSNN Kryx Interview Part 01", "0", "0.000000", "Items\DataSlate\DataSlate01.nif"
0x00001D28, "CF_KryxHistoryInterview_Slate002", "SSNN Kryx Interview Part 02", "0", "0.000000", "Items\DataSlate\DataSlate01.nif"
0x00001D29, "CF_KryxHistoryInterview_Slate003", "SSNN Kryx Interview Part 03", "0", "0.000000", "Items\DataSlate\DataSlate01.nif"
0x00001D2A, "CF_KryxHistoryInterview_Slate004", "SSNN Kryx Interview Part 04", "0", "0.000000", "Items\DataSlate\DataSlate01.nif"
0x00001D2B, "CF_KryxHistoryInterview_Slate005", "SSNN Kryx Interview Part 05", "0", "0.000000", "Items\DataSlate\DataSlate01.nif"
0x00001D2C, "CF_KryxHistoryInterview_Slate006", "SSNN Kryx Interview Part 06", "0", "0.000000", "Items\DataSlate\DataSlate01.nif"
0x00001D2D, "CF_KryxHistoryInterview_Slate007", "SSNN Kryx Interview Part 07", "0", "0.000000", "Items\DataSlate\DataSlate01.nif"
0x00002379, "SE_KT14_RobotCrewMutiny_CrewmanSwift", "Waylon Swift's Slate", "0", "0.000000", "Items\DataSlate\DataSlate01.nif"
0x00003566, "UCR05_TargetSlate", "Nondescript Slate", "0", "0.000000", "SetDressing\ucintdossier\UCIntDossier01.nif"
0x00007154, "FFClinicR01Slate", "Clinic Data Slate", "0", "0.000000", "Items\DataSlate\DataSlate01.nif"
0x00009A33, "Landmark_LosAngelesBook_NOCLUTTER", "Hope Family Tree", "590", "0.500000", "SetDressing\Books\BookLarge01.nif"
0x00009A37, "Landmark_DubaiBook_NOCLUTTER", "Race to the Heavens", "590", "0.500000", "SetDressing\Books\BookLarge01.nif"
0x00009A3D, "Landmark_CairoBook_NOCLUTTER", "The Ancient Civilization of Egypt", "590", "0.500000", "SetDressing\Books\BookLarge01.nif"
0x0000B0C1, "SE_SD10_Slate02", "Capt. Log - 05/28/2305", "0", "0.000000", "Items\DataSlate\DataSlate01.nif"
0x0000B514, "SE_SD10_Slate01", "Fading fast.", "0", "0.000000", "Items\DataSlate\DataSlate01.nif"
0x0000BA0F, "EAW_Slate_Bindi_Lydia", "Lydia's Audio Log", "0", "0.000000", "Items\DataSlate\DataSlate01.nif"
0x0000BA10, "EAW_Slate_Bindi_Jackie", "Jackie's Audio Log", "0", "0.000000", "Items\DataSlate\DataSlate01.nif"
0x0000CCCB, "FFNewAtlantis03_Slate", "Ricardo Bosch's Notes", "0", "0.000000", "Items\DataSlate\DataSlate01.nif"
0x0000D58C, "EAW_Slate_Vectera_Lin02", "Supervisor's Log #2", "0", "0.000000", "Items\DataSlate\DataSlate01.nif"
0x0000D590, "EAW_Slate_Vectera_Heller01", "Heller’s Personal Log #1", "0", "0.000000", "Items\DataSlate\DataSlate01.nif"
0x0000D592, "EAW_Slate_Vectera_Lin01", "Supervisor's Log #1", "0", "0.000000", "Items\DataSlate\DataSlate01.nif"
0x0000D593, "EAW_Slate_Vectera_Heller02", "Heller’s Personal Log #2", "0", "0.000000", "Items\DataSlate\DataSlate01.nif"
0x0000D5A7, "SE_SD09_Slate02", "Goodbye.", "0", "0.000000", "Items\DataSlate\DataSlate01.nif"
0x0000DB1A, "SE_SD09_Slate01", "To Mommy", "0", "0.000000", "Items\DataSlate\DataSlate01.nif"
0x0001659F, "EAW_AudioLog_Spacer_Directive_01", "Spacer Communication 1", "0", "0.000000", "Items\DataSlate\DataSlate01.nif"
0x000165A0, "EAW_AudioLog_Spacer_Directive_02", "Spacer Communication 2", "0", "0.000000", "Items\DataSlate\DataSlate01.nif"
0x000165A1, "EAW_AudioLog_Ecliptic_Directive_01", "Ecliptic Communique 1", "0", "0.000000", "Items\DataSlate\DataSlate01.nif"
0x000165A2, "EAW_AudioLog_Ecliptic_Directive_02", "Ecliptic Communique 2", "0", "0.000000", "Items\DataSlate\DataSlate01.nif"
0x000165A3, "EAW_AudioLog_Pirate_Directive_01", "Delgado's Directive", "0", "0.000000", "Items\DataSlate\DataSlate01.nif"
0x000165A4, "EAW_AudioLog_Pirate_Directive_02", "Naeva's Directive", "0", "0.000000", "Items\DataSlate\DataSlate01.nif"
0x000165A5, "EAW_AudioLog_Varuun_Directive_01", "Va'ruun Zealot Orders 1", "0", "0.000000", "Items\DataSlate\DataSlate01.nif"
