FormID, EditorID, Full, Data
0x00005B04,"PackInSciIntRmSmWallMidPlugC00L02SCStorageCell","","1"
0x00007D64,"PackInSCCabinetKitWallSm03aStorageCell","","1"
0x00007DC8,"PackInSCLDSpacePouches03StorageCell","","1"
0x00010810,"PackInLargeMechBraceA01StorageCell","","1"
0x00010D88,"PackInSCCrateStackableBStorageCell","","1"
0x00010DEC,"PackInStsGenIntSegSmMidFloor01cStorageCell","","1"
0x00010E50,"PackInPCMStaticColPredatorDen01StorageCell","","1"
0x00010EB4,"PackInOpiExtPodSmHexWallShellBot01StorageCell","","1"
0x00010F18,"PackInIndIntRmSmWallMidPlugD01DoorHinge02SCOLStorageCell","","1"
0x00011044,"PackInOpiIntPodSmHexWall06StorageCell","","1"
0x00011238,"PackInStsGenIntSegSmMidFloor03StorageCell","","1"
0x000148E8,"PackInBreakableWallCaveRockSharpPrefabStorageCell","","1"
0x00019258,"PackInPedestalDecoPostCoral04StorageCell","","1"
0x0001FB6C,"PackInPIRocksLayeredLarge06StorageCell","","1"
0x000220EC,"PackInPIRocksRoughLarge05StorageCell","","1"
0x000235A0,"PackInHangingGardenPipes01StorageCell","","1"
0x00026804,"PackInShipPISMODHabTaiyoBattleStations2L2W1HTopBStorageCell","","1"
0x0002709C,"PackInSciIntPlatSmEdgeStair01SCStorageCell","","1"
0x00034AF8,"PackInNishinaWarningLightsDoorwayWallsOn01DoubledAngledStorageCell","","1"
0x00034C88,"PackInKitchenwareFoodBinWithLidTomatosStorageCell","","1"
0x00058034,"PackInPedestalDecoPostMeteorite10StorageCell","","1"
0x000666AC,"PackInCrateMerchGen01Bundle28StorageCell","","1"
0x00070D14,"PackInPIFragMineStarbornStorageCell","","1"
0x0007687C,"PackInShipPISMODHabTaiyoCompanionway1L1W1HTopDStorageCell","","1"
0x0007D384,"PackInDesktopClutterB01StorageCell","","1"
0x000831A8,"PackInShipPISMODHabHopeWorkshop2L1W1HStorageCell","","1"
0x00090C68,"PackInDR023SignStorageRightStorageCell","","1"
0x000994BC,"COMAndrejaQuestJaedaShipNewCreatedExterior","","1"
0x00099E1C,"PackInFPIExoticsRockShardsXLarge04StorageCell","","1"
0x0009B26C,"PackInPIExoticsRockSheetsMedium04StorageCell","","1"
0x0009DF58,"PackInSlaytonAerospaceLobbyDisplayPIStorageCell","","1"
0x000A1284,"PackInPIExoticsEuphorbiaSmall01StorageCell","","1"
0x000B0F40,"PackInPIExoticsThornRocksSmall03StorageCell","","1"
0x000B2D54,"PackInShipPIEMODProjectileHorizonMauler106TTurretAftStorageCell","","1"
0x000B79E4,"PackInShipPISMODHabNovaAftDoorway01HabLeftStorageCell","","1"
0x000C1750,"PackInCrowdFurnTableMesshall01PackInStorageCell","","1"
0x000C6958,"PackInREOverlayPackinOETriggerAndSceneMarkersStorageCell","","1"
0x000CBC8C,"PackInMissionSupplyNeedMarkersIndustrialStorageCell","","1"
0x000CC268,"PackInLC107ConsoleKitTallHalf04PINavmeshGenOnlyStorageCell","","1"
0x000E4200,"PackInNeonPlatformEdgeStr01StorageCell","","1"
0x000E6654,"PackInPIOfficeWhiteBoardMid02WithPapers01StorageCell","","1"
0x00101788,"PackInShpGenIntHallSm1WayStairs01PIStorageCell","","257"
0x00103B78,"PackInPIExoticsBonescapeSmall01StorageCell","","1"
0x00116908,"PackInShipPISMODHabStroudCompanionWay1L1W1HAIntStorageCell","","1"
0x001199DC,"PackInGenShpIntSegSmWallSingleMid01Dmg01StorageCell","","257"
0x001264FC,"PackInShipPIEMODEMConductionGridShield01StorageCell","","1"
0x001321A8,"PackInENVHazardPKWetVentSteamExtremeHeatStatic01StorageCell","","1"
0x0013A164,"PackInPIShrubsDeadSnowyMedium01StorageCell","","1"
0x0013EA70,"PackInShipPISMODHabTaiyoCargo2L2W1HMidAStorageCell","","1"
0x00141C0C,"PackInShipPISMODHabStroudBerthingAll2L1W1HAIntStorageCell","","1"
0x00147DB4,"PackInPISnowChunksLarge02StorageCell","","1"
0x0014A8AC,"PackInShipPISMODStructNovaCrossPassageIntStorageCell","","1"
0x001563C8,"PackInFPIRocksVeiny03PCMStorageCell","","1"
0x00163CF8,"PackInPIManmadeSmallClutter44StorageCell","","1"
0x00167B14,"PackInShipPISMODCargoProtectorateGalleonS201StbdStorageCell","","1"
0x0017AD54,"PackInShipPISMODStructNovaCowlLongAftTopStorageCell","","1"
