FormID, EditorID, Description, Name, Unknown1, Unknown2, Unknown3, Unknown4, Unknown5, Unknown6, Unknown7, Unknown8, Unknown9, Unknown10, Unknown11, Unknown12, Unknown13, Unknown14, Unknown15, Unknown16, Unknown17, Unknown18, Unknown19, Unknown20, Unknown21, Unknown22, Unknown23, Unknown24, Unknown25, Unknown26, Unknown27, Unknown28, Unknown29, Unknown30, Unknown31, Unknown32, Unknown33, Unknown34
0x0000014B, "UMON", "Usage Monitor Effect", "", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "1", "0", "0", "0", "3", "1", "147328", "0", "0", "0", "0", "0", "0", "0"
0x00001014, "abFortifyStrafeSpeed", "Fortify Strafe Speed", "+<mag> strafe speed", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "2400225", "0", "0", "0", "0", "0", "34", "0", "0", "0", "3", "0", "167919488", "0", "0", "0", "0", "0", "0", "0"
0x00002965, "abFortifyTargetLockTime", "Fortify Target Lock Time", "Makes the automatic lock-on take <mag> seconds", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "10595", "0", "0", "0", "0", "0", "34", "0", "0", "0", "3", "0", "-1979302016", "0", "0", "0", "0", "0", "0", "0"
0x00002986, "Legendary_Armor_Incendiary_AddPerkEffect", "Legendary_Armor_Incendiary_AddPerkEffect", "", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "10623", "0", "0", "0", "0", "0", "0", "1", "0", "0", "0", "0", "-2144075776", "-1912554825", "0", "0", "0", "-1162379212", "0", "0", "0"
0x0000397E, "RestoreHealthFood_OBSOLETE", "Restore Health from Food", "Restores <mag> Health/s for <dur>", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "724", "0", "0", "0", "0", "0", "0", "0", "0", "0", "3", "1", "134233984", "56", "0", "0", "0", "0", "0", "0"
0x000048B3, "abVFX_RobotModelT", "VFX Rock Dump Anims", "", "0", "0", "0", "0", "0", "0", "0", "0", "18613", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "1", "0", "0", "0", "3", "0", "503463808", "1024", "0", "0", "0", "0", "0", "0"
0x000065B7, "Legendary_Armor_CarryWeight_Resources_AddPerkEffect", "Legendary_Armor_JunkWeight_AddPerkEffect", "", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "4865", "0", "0", "0", "0", "0", "0", "1", "0", "0", "0", "0", "-2144075776", "-1912554825", "0", "0", "0", "-1162379212", "0", "0", "0"
0x000065B8, "Legendary_Armor_CarryWeight_Weapon_AddPerkEffect", "Legendary_Armor_WeaponWeight_AddPerkEffect", "", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "779588", "0", "0", "0", "0", "0", "0", "1", "0", "0", "0", "0", "-2144075776", "-1912554825", "0", "0", "0", "-1162379212", "0", "0", "0"
0x00009B20, "abShipCrewCommandSlots", "Spaceship Crew Command Slots", "", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "1441840", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "-2147352576", "0", "0", "0", "0", "0", "0", "0"
0x0000CE5C, "LC165_ArtifactPowerReanimation_Ab", "Alien Reanimation", "Revives a dead alien to fight for you for <dur>.", "0", "0", "0", "0", "1516228", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "0", "1", "0", "0", "0", "3", "0", "147328", "0", "0", "0", "0", "0", "0", "0"
