FormID, EditorID, Name, Data1, Data2, Data3, Data4, Data5, Data6, Data7
0x0000297D, "Ench_Legendary_Armor_Incendiary", "Ench_Legendary_Armor_Incendiary", "0", "0", "0", "393216", "0", "0", "0"
0x000065B9, "Ench_Legendary_Armor_CarryWeight_Resources", "Ench_Legendary_Armor_CarryWeight_Resources", "0", "0", "0", "393216", "0", "0", "0"
0x000065BB, "Ench_Legendary_Armor_CarryWeight_Weapon", "Ench_Legendary_Armor_CarryWeight_Weapon", "0", "0", "0", "393216", "0", "0", "0"
0x00015420, "BoostpackEnchantment_Balanced", "Balanced Boostpack", "0", "0", "0", "393216", "0", "0", "0"
0x0002FE27, "OLD_Ench_LegendaryWeapon_Corrosive_ArmorPen", "Corrosive Armor Pen", "0", "4", "1", "393472", "0", "0", "0"
0x00038E50, "Ench_EMShock", "EM Shock Ench", "0", "0", "1", "393472", "0", "0", "0"
0x00050730, "Ench_Armor_CarryWeight", "Ench_Armor_CarryWeight", "0", "0", "0", "393216", "0", "0", "0"
0x000600F3, "Ench_Legendary_Armor_Disarm", "Ench_Legendary_Armor_Disarm", "0", "0", "0", "393216", "0", "0", "0"
0x000600F6, "Ench_Legendary_Armor_Stagger", "Ench_Legendary_Armor_Stagger", "0", "0", "0", "393216", "0", "0", "0"
0x00062100, "OLD_Ench_LegendaryWeapon_Radioactive_Effects", "Radioactive", "0", "4", "1", "393472", "0", "0", "0"
0x000690A0, "Ench_Legendary_Helmet_OxygenUse", "Ench_Legendary_Helmet_OxygenUse", "0", "0", "0", "393216", "0", "0", "0"
0x000690A4, "Ench_Legendary_Helmet_ScannerDMG", "Ench_Legendary_Helmet_OxygenUse", "0", "0", "0", "393216", "0", "0", "0"
0x000690A6, "Ench_Legendary_Helmet_FortifyOxygen", "Ench_Legendary_Helmet_FortifyOxygen", "0", "0", "0", "393216", "0", "0", "0"
0x00069DFA, "Ench_Weapon_ShockCharge", "Tesla", "0", "4", "1", "393472", "0", "0", "0"
0x00071100, "Ench_Legendary_Armor_FallDamage", "Ench_Legendary_Armor_FallDamage", "0", "0", "0", "393216", "0", "0", "0"
0x00077C0B, "Ench_Weapon_ArmorPiercing", "Armor Piercing", "0", "0", "0", "393216", "0", "0", "0"
0x0007D4EE, "Ench_Backpack_Oxygen", "Ench_Backpack_Oxygen", "0", "0", "0", "393216", "0", "0", "0"
0x0007D4F4, "Ench_Backpack_Regenerate", "Regenerate", "0", "0", "0", "393216", "0", "0", "0"
0x0007D72A, "Ench_Generic_IncendiaryDamage", "Incendiary", "0", "4", "1", "393472", "0", "0", "0"
0x0007E95C, "Ench_Weapon_ParticleWeapons", "Particle Weapons", "0", "0", "0", "393216", "0", "0", "0"
0x0007F7B0, "Ench_Weapon_DepletedUranium", "Depleted Uranium Rounds", "0", "0", "0", "393216", "0", "0", "0"
0x0008758A, "Ench_StarbornWeapon_GravityTorpedo", "Gravity Torpedo Enchantment", "0", "0", "1", "393216", "0", "0", "0"
0x0008AB41, "Ench_LegendaryWeapon_Corrosive_AddPerk", "Corrosive", "0", "0", "0", "393216", "0", "0", "0"
0x00091156, "Ench_StarbornWeapon_Supernova01", "Supernova", "0", "0", "1", "393216", "0", "0", "0"
0x00092D50, "BoostpackEnchantment_Basic", "Basic Boostpack", "0", "0", "0", "393216", "0", "0", "0"
