FormID, EditorID, Name, Model
0x000008A6, "MQ101_035_SarahMorganScene_SarahFurnitureMarker", "", "Markers\InvisibleGeneric01.nif"
0x00001260, "NPCSurrender", "", "Markers\InvisibleGeneric01.nif"
0x00001E9A, "NPCChairRyujinTall02_ExecutiveHandClasp", "Chair", "SetDressing\Ryujin\RyujinChairTall02.nif"
0x00001E9B, "NPCChairRyujinTall01_ExecutiveLean", "Chair", "SetDressing\Ryujin\RyujinChairTall01.nif"
0x000027D5, "NPCChairTech03_Free_270", "Chair", "Furniture\Chairs\Tech\ChairTech03.nif"
0x00003312, "ShipChairA_Seat_02_Terminal", "Chair", "Furniture\ShipFurniture\ShipChairA_Seat_02.nif"
0x0000331F, "_Template_Chair_DeskEatDrink", "Chair", "Markers\InvisibleGeneric01.nif"
0x00003321, "ChairUtilityB01_DeskEatDrink", "Chair", "SetDressing\Furniture\Chairs\ChairUtilityB01.nif"
0x0000336C, "UC02_AnkylosaurusFX_DirtMound", "", "Effects\CreatureEffectsGeneric\UC02_Ankylosaurus_AmbushDirtMound.nif"
0x00003834, "NPCArrested", "", "Markers\InvisibleGeneric01.nif"
0x000042E2, "NPCLeaningBartopBack_AnimFlavorCoffeecup", "", "Markers\InvisibleGeneric01.nif"
0x000042E9, "NPCLeaningBartopFront_AnimFlavorCoffeecup", "", "Markers\InvisibleGeneric01.nif"
0x000042EA, "NPCLeaningBartopLeft_AnimFlavorCoffeecup", "", "Markers\InvisibleGeneric01.nif"
0x000042EB, "NPCLeaningBartopRight_AnimFlavorCoffeecup", "", "Markers\InvisibleGeneric01.nif"
0x000042EC, "NPCStanding_Confident_AnimFlavorCoffeecup", "", "Markers\InvisibleGeneric01.nif"
0x000042ED, "NPCStanding_CrowdConversation_AnimFlavorCoffeecup", "", "Markers\InvisibleGeneric01.nif"
0x00004684, "Bed_Double03_Alt03", "Bed", "Furniture\Beds\Bed_Double03_Alt03.nif"
0x00004685, "Bed_Double03_Alt02", "Bed", "Furniture\Beds\Bed_Double03_Alt02.nif"
0x00004686, "Bed_Double03_Alt01", "Bed", "Furniture\Beds\Bed_Double03_Alt01.nif"
0x00004687, "Bed_Double02_Alt03", "Bed", "Furniture\Beds\Bed_Double02_Alt03.nif"
0x00004688, "Bed_Double02_Alt02", "Bed", "Furniture\Beds\Bed_Double02_Alt02.nif"
0x00004689, "Bed_Double02_Alt01", "Bed", "Furniture\Beds\Bed_Double02_Alt01.nif"
0x0000468A, "Bed_Double01_Alt03", "Bed", "Furniture\Beds\Bed_Double01_Alt03.nif"
0x0000468B, "Bed_Double01_Alt02", "Bed", "Furniture\Beds\Bed_Double01_Alt02.nif"
0x0000468C, "Bed_Double01_Alt01", "Bed", "Furniture\Beds\Bed_Double01_Alt01.nif"
0x00004757, "NPCChairRyujinTall02_Table_LeftExitOnly", "Chair", "SetDressing\Ryujin\RyujinChairTall02.nif"
0x00004A49, "NPCWireboxTinker", "", "Markers\InvisibleGeneric01.nif"
0x0000520A, "NPCStanding_AnimFlavorThinking", "", "Markers\InvisibleGeneric01.nif"
0x00005A98, "PilotSeatFurniture", "Pilot Seat", "Furniture\PilotSeat\CharacterAssets\pilotseat.nif"
0x00005EDD, "_Template_Chair_Free01_AllowAnimObjects", "Chair", "Furniture\Chairs\ChairPlastic01.nif"
0x00006365, "NPCChairRyujinTall01_NPCOnly", "", "SetDressing\Ryujin\RyujinChairTall01.nif"
0x00006367, "NPCChairRyujinTall01_ExecutiveLean_NPCOnly", "", "SetDressing\Ryujin\RyujinChairTall01.nif"
0x00006369, "NPCChairRyujinTall02_ExecutiveHandClasp_NPCOnly", "", "SetDressing\Ryujin\RyujinChairTall02.nif"
0x000063D0, "NPCStanding_ReadingBook", "", "Markers\InvisibleGeneric01.nif"
0x00007145, "ShipLandingMarker_80m_Large", "", "Ships\Discovery\ShipLandingMarker.nif"
0x00007359, "NPCRead_Sitting", "Chair", "Furniture\Chairs\ChairPlastic01.nif"
0x00007E0C, "MQ105_014_NegotiationBriefcase_Musgrove", "", "Furniture\negotiationbriefcase\CharacterAssets\NegotiationBriefcase.nif"
0x0000851D, "NPCCrouchRummage_MustExitToTalk", "", "SetDressing\Crates\RUMMAGE_FLOOR_BOX_SIZE.nif"
0x00009C06, "StoolTall_01_NoMustExitToTalk", "Stool", "Furniture/Stools/StoolTall_01.nif"
0x00009C07, "NeonFurnitureBarstool01_NoMustExitToTalk", "Stool", "SetDressing\Neon\NeonFurnitureBarstool01.nif"
0x0000A329, "NPCIDCardReader", "", "Markers\InvisibleGeneric01.nif"
0x0000A4B0, "NPCRepair_ToolStanding_Hammer", "", "Markers\InvisibleGeneric01.nif"
