FormID, EditorID, Full, DNAM, Model
0x000013B6,"LC175Re939StarStation","Starstation RE-939","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x00001E9F,"EncShip_C_Stroud_Vanquisher01","Vanquisher","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x00001EA1,"EncShip_C_Stroud_Vanquisher02","Vanquisher","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x00001EA6,"EncShip_C_Stroud_Vanquisher03","Vanquisher","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x00002548,"Combat_B_Generic_Naginata02_Template","Naginata II","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x0000254E,"Combat_B_Generic_Naginata03_Template","Naginata III","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x00002D45,"LC102SirenStarsShipNew_Custom","Siren of the Stars","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x00003C57,"DefensiveBattery_Laser_Body_DummyFire","z_LaserDefensiveBattery_DummyFire","",""
0x00004242,"SMA_GravDrive_Vanguard_NG170_UC01_QuestOnly","Vanguard Recon Grav Drive","",""
0x00004243,"SMA_Weapon_Missile_Vanguard_Tempest_CE-13_UC01","Vanguard Tempest CE-13 Missile Launcher","",""
0x00004244,"SMA_Weapon_Particle_Vanguard_Obliterator_Auto_UC01","Vanguard Obliterator Autoprojector","",""
0x00004245,"SMB_Ballistic_Vanguard_Hellfire_Auto_UC01","Vanguard Hellfire Autocannon","",""
0x00004246,"SMB_Shields_Vanguard_Bulwark_UC01","Vanguard Bulwark Shield Generator","",""
0x00004247,"SMC_Weapon_Laser_Vanguard_Starseeker_Auto_UC01","Vanguard Starseeker Pulse Laser","",""
0x00004248,"SMC_Weapon_Particle_Vanguard_Ares_Auto_UC01","Vanguard Ares Particle Cannon","",""
0x00004556,"SMC_Shields_Sextant_Assurance_SG-4000_lvl84","Assurance SG-4000 Shield Generator","",""
0x00004557,"SMC_Shields_Dogstar_104D_Guardian_Stbd_lvl76","104D Guardian Shield Generator","",""
0x00004558,"SMC_Shields_Dogstar_104D_Guardian_Port_lvl76","104D Guardian Shield Generator","",""
0x00005140,"SMS_Hab_HopeTech_Storage_1L1W1H_B","HopeTech Storeroom 1x1","",""
0x0000565E,"MS03_EclipticShip","","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x00006F49,"SMA_Engine_Slayton_SA-4220_PortBtm_lvl43","SA-4220 Engine","",""
0x00006F4A,"SMA_Engine_Slayton_SA-4330_PortBtm_lvl54","SA-4330 Engine","",""
0x00006F4B,"SMA_Engine_Slayton_SA-4220_PortTop_lvl43","SA-4220 Engine","",""
0x00006F4C,"SMA_Engine_Slayton_SA-4330_PortTop_lvl54","SA-4330 Engine","",""
0x00006F4D,"SMA_Engine_Slayton_SA-4220_Stbd_lvl43","SA-4220 Engine","",""
0x00006F4E,"SMA_Engine_Slayton_SA-4220_StbdBtm_lvl43","SA-4220 Engine","",""
0x00006F4F,"SMA_Engine_Slayton_SA-4220_StbdTop_lvl43","SA-4220 Engine","",""
0x00006F50,"SMA_Engine_Slayton_SA-4330_Stbd_lvl54","SA-4330 Engine","",""
0x00006F51,"SMA_Engine_Slayton_SA-4330_StbdBtm_lvl54","SA-4330 Engine","",""
0x00006F52,"SMA_Engine_Slayton_SA-4330_StbdTop_lvl54","SA-4330 Engine","",""
0x00006FA0,"Combat_A_Generic_Achilles02_Template","Achilles II","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x00006FA2,"Combat_A_Generic_Achilles03_Template","Achilles III","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x00006FA7,"Combat_A_Generic_Raptor02_Template","Raptor II","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x00006FA9,"Combat_A_Generic_Raptor03_Template","Raptor III","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x00006FB0,"Combat_B_Generic_Pterosaur02_Template","Pterosaur II","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x00006FB5,"Combat_B_Generic_Pterosaur03_Template","Pterosaur III","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x00006FC1,"Combat_B_Generic_Starhawk02_Template","Starhawk II","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x00006FCC,"xDoNotUse_Combat_B_Generic_Starhawk03_Template","Starhawk III","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x00006FCE,"Combat_B_Generic_Warhammer02_Template","Warhammer II","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x00006FDB,"Combat_B_Generic_Warhammer03_Template","Warhammer III","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x00007478,"SE_KT11_Destroyer_B_Deimos_Nebula01_Derelict_Custom","Bright Star","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x0000760C,"xDoNotUse_LvlShip_Civilian_A_Cargo","","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x00007911,"MQ102MoaraShip_Custom","Moara's Ship","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x00007E6A,"General_B_Deimos_Celestial02_Template","Celestial II","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x0000877F,"Destroyer_B_Nova_Zumwalt01_Template","Zumwalt","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x00008856,"xDoNotUse_Cruiser_C_Hopetech_StarSemi02_Template","Star Semi II","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x00008EBD,"SpaceshipHull","","","Ships\Discovery\ShipLandingFX01.nif"
0x000090B0,"SM016_StroudEklundStaryard","Stroud-Eklund Staryard","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x000090B3,"SM015_DeimosStaryard","Deimos Staryard","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x000090B8,"SM018_TridentLuxuryStaryard","Trident Staryard","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x000090F7,"LvlShip_DefenseBattery_CF","Defensive Battery","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x000090F9,"LC088_LvlShip_DefenseBattery_Alpha","Defensive Battery Alpha","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x000090FD,"LC088_LvlShip_DefenseBattery_Beta","Battery Beta","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x0000ACD8,"SMS_Cargo_Sextant_200CM_Ballast_Port","200CM Ballast Cargo Hold","",""
0x0000ACE7,"ShipMod_Engine01alt_Port","Engine - Port","",""
0x0000ACE8,"ShipMod_Engine02_Starboard","Engine - Starboard","",""
0x0000B092,"SMS_Hab_Deimos_Storage_1L1W1H_B","Deimos Storeroom 1x1","",""
0x0000B288,"LvlShip_HumanHostile_Small_DropshipOnly","Pirate Ship","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x0000B72B,"SMS_Docker_Nova_NG-2_TOP","NG-2 Docker - Top","",""
0x0000B730,"Constellation_Frontier_Template","Frontier","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x0000B736,"SMS_Struct_Nova_CL-3C_Fore","Nova Cowling 1L-TF","",""
0x0000B737,"SMS_Lander_Nova_NG-10_STBD_FORE","NG-10 Landing Gear - Stbd Fore","",""
0x0000B739,"SMS_Lander_Nova_NG-10_PORT_FORE","NG-10 Landing Gear - Port Fore","",""
0x0000B73D,"SMA_Shields_Dogstar_10S_Protector_Stbd_lvl02","10S Protector Shield Generator","",""
0x0000B7F2,"ShipMod_WeaponCannon01","Weapon - Cannon","",""
0x0000C353,"Cruiser_C_Stroud_Vindicator02_Template","Vindicator II","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x0000C355,"Cruiser_C_Stroud_Vindicator03_Template","Vindicator III","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x0000CC8C,"LvlShip_HumanHostile_Medium_DropshipOnly","Pirate Ship","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
0x0000CC8E,"LvlShip_HumanHostile_Large_DropshipOnly","Pirate Ship","spaceshipresponse.txt","Markers\DummyMarkers\DummySmall01.nif"
