FormID, EditorID, Description, Icon
0x0002AA26,"LS_GeneralGameplay02","Anger someone you shouldn't have? Leave the area for a day (though if you have a high bounty, local guards will still remember what you did).","Data\textures\interface\loadscreens\generic\general\starfield_general_009_color.dds"
0x0003E1E4,"LS_ShipCriticalHit","Critical hits against an enemy ship can rarely kill its entire crew, leaving it ""dead in the water.""  ","Data\textures\interface\loadscreens\generic\starfield_destruction_color.dds"
0x0005B3D3,"LS_LoreTimeline02","History of the Settled Systems - Sol Date: 2176\nWith production of the psychotropic chem Aurora in full swing, the enormous Xenofresh Industries fishing rig becomes the pleasure city of Neon.","Data\textures\interface\loadscreens\generic\neon\starfield_neon_002_color.dds"
0x0005B3D4,"LS_LoreTimeline03","History of the Settled Systems - Sol Date: 2196-2216\nThe United Colonies moves a starstation into the neutral system of Narion, sparking a war with the Freestar Collective that drags on for 16 years.","Data\textures\interface\loadscreens\generic\dungeon\starfield_mechgraveyard_031_color.dds"
0x0005B3D5,"LS_LoreTimeline04","History of the Settled Systems - Sol Date: 2308-2311\nWhen the United Colonies accuses the Freestar Collective of violating the Treaty of Narion, the result is the short, bloody, vindictive Colony War.","Data\textures\interface\loadscreens\generic\general\starfield_general_073_color.dds"
0x0005B3D6,"LS_LoreTimeline05","History of the Settled Systems - Sol Date: 2240-2263\nHouse Va'ruun wages the Serpent's Crusade, a campaign of open violence against every other faction in the Settled Systems.","Data\textures\interface\loadscreens\generic\space\starfield_space_062_color.dds"
0x0005B3D7,"LS_LoreTimeline06","History of the Settled Systems - Sol Date: 2241\nAfter leading a successful revolt and escape from the prison on Suvorov, Jasper Kryx dubs his new collection of stolen ships the Crimson Fleet.","Data\textures\interface\loadscreens\generic\space\starfield_space_041_color.dds"
0x0005B3D8,"LS_LoreTimeline07","History of the Settled Systems - Sol Date: 2275\nSebastian Banks, ancestor of explorer John Banks, founds Constellation, an organization dedicated to the exploration of the Milky Way galaxy.","Data\textures\interface\loadscreens\generic\lodge\starfield_lodge_001_color.dds"
0x0005B3D9,"LS_LoreTimeline08","History of the Settled Systems - Sol Date: 2315\nThe United Colonies founds the UC Vanguard, a privateer navy utilizing independent captains piloting their own ships.","Data\textures\interface\loadscreens\generic\general\starfield_general_015_color.dds"
0x0005B3DA,"LS_LoreTimeline10","History of the Settled Systems - Sol Date: 2311\nRyujin Industries completes construction of Ryujin Tower in Neon, firmly establishing itself as the most powerful megacorp in the Settled Systems. ","Data\textures\interface\loadscreens\generic\general\starfield_general_022_color.dds"
0x0005B3DB,"LS_LoreTimeline09","History of the Settled Systems - Sol Date: 2231\nThe Freestar Collective Council of Governors votes to create the Freestar Rangers, a law enforcement agency with far-reaching authority.","Data\textures\interface\loadscreens\generic\akila\starfield_akila_004_color.dds"
0x0006587B,"LS_Ship47","You can trade with most civilian starships by hailing them.","Data\textures\interface\loadscreens\generic\space\starfield_space_046_color.dds"
0x00070E72,"LS_SpacesuitResistance","Spacesuit resistances are less effective in extreme environments and weather.","Data\textures\interface\loadscreens\generic\general\starfield_general_059_color.dds"
0x0007C499,"LS_Ship44","Your ship's target reticle will briefly pulse red whenever you inflict hull damage on the enemy.","Data\textures\interface\loadscreens\generic\space\starfield_space_061_color.dds"
