FormID, EditorID, Name, Faction, Flags, Parent, ANAM, RNAM, TNAM
0x00001116, "DebugLocation", "", "", "01100011000100000000000000000000", "", "1.000000", "0", "0.000000"
0x0000118E, "OEAF015Location", "Military Training Post", "", "00000000000100000000000000000000", "", "1.000000", "0", "0.000000"
0x0000119B, "OEAF026Location", "Civilian Outpost", "CrimeFactionLIST", "00000000000100000000000011111111", "", "1.000000", "0", "0.000000"
0x000011A9, "OESF008Location", "Civilian Outpost", "", "00000000000100000000000011111111", "", "1.000000", "0", "0.000000"
0x000011AC, "OESF007Location", "Collapsed Observation Tower", "", "00000000000100000000000000000000", "", "1.000000", "0", "0.000000"
0x000011AF, "OESF006Location", "Observation Platform", "", "00000000000100000000000000000000", "", "1.000000", "0", "0.000000"
0x000011B3, "OESF005Location", "Science Outpost", "", "00000000000100000000000000000000", "", "1.000000", "0", "0.000000"
0x000011B6, "OESF004Location", "Civilian Outpost", "", "00000000000100000000000011111111", "", "1.000000", "0", "0.000000"
0x000011B9, "OESF003Location", "Science Outpost", "", "00000000000100000000000000000000", "", "1.000000", "0", "0.000000"
0x000011BE, "OESF002Location", "Military Encampment", "", "00000000000100000000000000000000", "", "1.000000", "0", "0.000000"
0x000011C1, "OESF001Location", "Covered Crater", "", "00000000000100000000000000000000", "", "1.000000", "0", "0.000000"
0x000011C4, "OESD017Location", "Secluded Encampment", "", "00000000000100000000000000000000", "", "1.000000", "0", "0.000000"
0x000011C7, "OESD016Location", "Pipeline Terminus", "", "00000000000100000000000000000000", "", "1.000000", "0", "0.000000"
0x000013CE, "OEDB001WorldLocation", "Decrepit Military Installation", "", "00000000000100000000000000000000", "", "1.000000", "0", "0.000000"
0x000019FB, "CityNeonEnhanceLocation", "Neon: Enhance", "", "00000000000101000000000000000000", "CityNeonLocation", "1.000000", "0", "10.000000"
0x000019FC, "CityNeonEmporiumLocation", "Neon: The Emporium", "", "00000000000101000000000000000000", "CityNeonLocation", "1.000000", "0", "30.000000"
0x00001C84, "OverlayTraitCharredEcosystemMd02WaterLocation", "Charred Ecosystem", "", "00000000000100000000000000000000", "", "1.000000", "0", "0.000000"
0x00005748, "VecteraWorldSpaceLocation", "Argos Extractors Mining Outpost", "", "00000000000100010000000000000000", "SNarion_PAnselon_MVectera_Surface", "1.000000", "0", "0.000000"
0x000074A3, "SE_KT11_Destroyer_B_Deimos_Nebula01_CreatedInteriorLocation", "", "", "00000000000100000000000000000000", "", "1.000000", "0", "0.000000"
0x000074A4, "SE_KT11_Destroyer_B_Deimos_Nebula01_CreatedExteriorLocation", "", "", "00000000000100000000000000000000", "", "1.000000", "0", "0.000000"
0x0000846C, "TemplateSceneLocation", "Template Scene", "", "00000000000100000000000000000000", "", "1.000000", "0", "0.000000"
0x000090BE, "SM016_StroudEklundStaryard_CreatedExteriorLocation", "", "", "00000000000100000000000000000000", "", "1.000000", "0", "0.000000"
0x0000ADD7, "SWolf_PChthonia", "Chthonia", "", "00000000000100000000000000000000", "SWolf", "1.000000", "0", "0.000000"
0x0000ADD8, "SWolf_PChthonia_Surface", "Chthonia", "", "00000000000100000000000000000000", "SWolf_PChthonia", "1.000000", "0", "0.000000"
0x0000ADD9, "SWolf_PChthonia_Orbit", "Chthonia", "", "00000000000100000000000000000000", "SWolf_PChthonia", "1.000000", "0", "0.000000"
0x0000AEA0, "SNarion_PDanra_MGryphus", "Gryphus", "", "00000000000100000000000000000000", "SNarion_PDanra", "1.000000", "0", "0.000000"
0x0000AEA2, "SNarion_PDanra_MGryphus_Orbit", "Gryphus", "", "00000000000100000000000000000000", "SNarion_PDanra_MGryphus", "1.000000", "0", "0.000000"
0x0000B365, "LC131_Freighter_A_Hopetech_LostCargo_CreatedExteriorLocationDUPLICATE000", "", "", "00000000000100000000000000000000", "", "1.000000", "0", "0.000000"
0x0000BA00, "UC01_SimulationPlayerShip_ClassB_CreatedExteriorLocationDUPLICATE000", "", "", "00000000000100000000000000000000", "", "1.000000", "0", "0.000000"
0x0000BA01, "UC01_SimulationPlayerShip_ClassB_CreatedInteriorLocationDUPLICATE000", "", "", "00000000000100000000000000000000", "", "1.000000", "0", "0.000000"
0x0000BA0A, "UC01_SimulationPlayerShip_ClassB_CreatedExteriorLocation", "", "", "00000000000100000000000000000000", "", "1.000000", "0", "0.000000"
0x0000BA0B, "UC01_SimulationPlayerShip_ClassB_CreatedInteriorLocation", "", "", "00000000000100000000000000000000", "", "1.000000", "0", "0.000000"
0x000105AC, "VecteraMineLocation", "Vectera Mine", "", "00000000000100000000000000000000", "VecteraWorldSpaceLocation", "1.000000", "0", "0.000000"
0x00010DFB, "CityAkilaCityLocation", "Akila City", "", "11111111000000000000000100000000", "SCheyenne_PAkila_Surface", "1.000000", "0", "15.000000"
0x000124EA, "CityAkilaCityCoeEstateLocation", "Coe Estate", "", "00000000000100000000000000000000", "CityAkilaCityLocation", "1.000000", "0", "45.000000"
0x0001295A, "CityNewAtlantisLocation", "New Atlantis", "", "11111111000000000000000100000000", "SAlphaCentauri_PJemison_Surface", "1.000000", "0", "15.000000"
0x0001410E, "ConstellationFrontierShipLocation", "The Frontier", "", "00000000000100000000000000000000", "", "1.000000", "0", "0.000000"
0x000141EF, "ConstellationFrontierShipInteriorLocation", "The Frontier", "", "00000000000100000000000000000000", "ConstellationFrontierShipLocation", "1.000000", "0", "0.000000"
0x000141F0, "ConstellationFrontierShipExteriorLocation", "The Frontier", "", "00000000000100000000000000000000", "ConstellationFrontierShipLocation", "1.000000", "0", "0.000000"
0x00014800, "OverlayTraitCharredEcosystemSm01WaterLocation", "Charred Ecosystem", "", "00000000000100000000000000000000", "", "1.000000", "0", "0.000000"
0x00015359, "StationTheKeyParentLocation", "The Key", "", "11111111000000000001100100000000", "SKryx_PSuvorov_Orbit", "1.000000", "0", "45.000000"
0x0001535A, "StationTheKeyInteriorLocation", "The Key", "", "11111111000000000000000100000000", "StationTheKeySpaceCellLocation", "1.000000", "0", "90.000000"
0x0001535B, "StationTheKeySpaceCellLocation", "The Key", "", "00000000000100000000000000000000", "StationTheKeyParentLocation", "1.000000", "0", "45.000000"
