FormID, EditorID, Model, ChanceNone, Flags, FlagText, Count, MaxCount, UseGlobal, LVLL, Override Name
0x000009C6,"LL_Spacesuit_Constellation_Body_Quality_05","",0.000000,4,"UseAll ",1,0,0,0,""
0x000019F5,"LL_Weapon_Reward_MQ105","",0.000000,3,"AllLevels EachItem ",1,0,0,0,"Fiscal Quarter"
0x000019F7,"LL_Weapon_Reward_MQ204_HuntersLaserRifle","",0.000000,3,"AllLevels EachItem ",1,0,0,0,"Unrestrained Vengeance"
0x00001C07,"LL_Spacesuit_Constellation_Helmet_Quality_05","",0.000000,0,"",1,0,0,0,""
0x00001C93,"LL_Ammo_100YearOld_IsLinkedTo","",0.000000,32,"U32 ",22,0,0,0,""
0x00001CAB,"LL_Clothes_Slayton_BusinessSuit_Any","",0.000000,3,"AllLevels EachItem ",4,0,0,0,""
0x00001D9D,"LL_Ammo_100YearOld_Leveled","",0.000000,3,"AllLevels EachItem ",20,0,0,0,""
0x00001D9E,"LL_Ammo_100YearOld_Leveled_NoXPL","",0.000000,3,"AllLevels EachItem ",19,0,0,0,""
0x00001DA0,"LL_Display_HeavyWeapons_Common_100YearOld_ChanceLegendary","",0.000000,4,"UseAll ",2,1,0,0,""
0x00001DCF,"LL_Display_HeavyWeapons_Rare_100YearOld_ChanceLegendary","",0.000000,4,"UseAll ",2,1,0,0,""
0x00001DD9,"LL_Display_Pistol_Or_Rifle_Or_Shotgun_Rare_100YearOld_ChanceLegendary","",0.000000,0,"",2,0,0,0,""
0x00001DDC,"LL_Display_Pistols_Common_100YearOld_ChanceLegendary","",0.000000,4,"UseAll ",2,1,0,0,""
0x00001DE6,"LL_Display_Pistols_Rare_100YearOld_ChanceLegendary","",0.000000,4,"UseAll ",2,1,0,0,""
0x00001DE8,"LL_Display_Rifle_Or_Shotgun_Common_100YearOld_ChanceLegendary","",0.000000,4,"UseAll ",2,1,0,0,""
0x00001DFD,"LL_Display_Rifle_Or_Shotgun_Rare_100YearOld_ChanceLegendary","",0.000000,4,"UseAll ",2,1,0,0,""
0x00001E33,"LLC_Loot_Misc_Small_NoFoodOrDrink","",0.000000,4,"UseAll ",2,2,0,0,""
0x0000267E,"LL_Chem_Loot_StreetTheme_Leveled_100YearOld","",0.000000,3,"AllLevels EachItem ",3,0,0,0,""
0x000027C8,"LL_Chem_Street_Crafted_Leveled_100YearOld","",0.000000,1,"AllLevels ",7,0,0,0,""
0x000027C9,"LL_Chem_Street_Leveled_100YearOld","",0.000000,3,"AllLevels EachItem ",2,0,0,0,""
0x000027CA,"LL_Chem_Street_Stock_Leveled_100YearOld","",0.000000,1,"AllLevels ",2,0,0,0,""
0x000027D2,"LL_Spacesuit_Explorer_01_Landmark_HighestQuality","",0.000000,2,"EachItem ",4,0,0,0,""
0x000027D3,"LL_Spacesuit_Explorer_01_Landmark_Quality_01","",0.000000,0,"",1,0,0,0,""
0x000027D4,"LL_Spacesuit_Explorer_01_Landmark_Quality_02","",0.000000,0,"",1,0,0,0,""
0x000027D6,"LL_Spacesuit_Explorer_01_Landmark_Quality_03","",0.000000,0,"",1,0,0,0,""
0x000027D7,"LL_Spacesuit_Explorer_01_Landmark_Quality_04","",0.000000,0,"",1,0,0,0,""
0x000027D8,"LL_Spacesuit_Explorer_01_Backpack_Landmark_HighestQuality","",0.000000,2,"EachItem ",4,0,0,0,""
0x000027D9,"LL_Spacesuit_Explorer_01_Helmet_Landmark_HighestQuality","",0.000000,2,"EachItem ",4,0,0,0,""
0x000027DA,"LL_Spacesuit_Explorer_01_Helmet_Landmark_Quality_01","",0.000000,0,"",1,0,0,0,""
0x000027DB,"LL_Spacesuit_Explorer_01_Helmet_Landmark_Quality_02","",0.000000,0,"",1,0,0,0,""
0x000027DC,"LL_Spacesuit_Explorer_01_Helmet_Landmark_Quality_03","",0.000000,0,"",1,0,0,0,""
0x000027DD,"LL_Spacesuit_Explorer_01_Helmet_Landmark_Quality_04","",0.000000,0,"",1,0,0,0,""
0x000027DE,"LL_Spacesuit_Mercury_Backpack_HighestQuality","",0.000000,2,"EachItem ",4,0,0,0,""
0x000027DF,"LL_Spacesuit_Mercury_Body_HighestQuality","",0.000000,2,"EachItem ",4,0,0,0,""
0x000027E0,"LL_Spacesuit_Mercury_Body_Quality_01","",0.000000,0,"",1,0,0,0,""
0x000027E1,"LL_Spacesuit_Mercury_Body_Quality_02","",0.000000,0,"",1,0,0,0,""
0x000027E2,"LL_Spacesuit_Mercury_Body_Quality_03","",0.000000,0,"",1,0,0,0,""
0x000027E3,"LL_Spacesuit_Mercury_Body_Quality_04","",0.000000,0,"",1,0,0,0,""
0x000027E4,"LL_Spacesuit_Mercury_Helmet_HighestQuality","",0.000000,2,"EachItem ",4,0,0,0,""
0x000027E5,"LL_Spacesuit_Mercury_Helmet_Quality_01","",0.000000,0,"",1,0,0,0,""
0x000027E6,"LL_Spacesuit_Mercury_Helmet_Quality_02","",0.000000,0,"",1,0,0,0,""
0x000027E7,"LL_Spacesuit_Mercury_Helmet_Quality_03","",0.000000,0,"",1,0,0,0,""
0x000027E8,"LL_Spacesuit_Mercury_Helmet_Quality_04","",0.000000,0,"",1,0,0,0,""
0x000028AA,"LL_LegendaryItem_ArmorList_100YearOld","",0.000000,3,"AllLevels EachItem ",1,0,0,0,""
0x0000297C,"LL_LegendaryItem_ArmorListHelmets_Common_100YearOld","",0.000000,3,"AllLevels EachItem ",1,0,0,0,""
0x00002988,"LL_LegendaryItem_WeaponList_100YearOld","",0.000000,3,"AllLevels EachItem ",3,0,0,0,""
0x0000298C,"LL_LegendaryItem_WeaponListHandguns_Common_100YearOld","",0.000000,3,"AllLevels EachItem ",1,0,0,0,""
0x00002AC6,"LL_LegendaryItem_WeaponListHandguns_Rare_100YearOld","",0.000000,3,"AllLevels EachItem ",1,0,0,0,""
0x00002AD8,"LL_LegendaryItem_WeaponListHeavyWeapons_Common_100YearOld","",0.000000,3,"AllLevels EachItem ",1,0,0,0,""
0x00002ADC,"LL_LegendaryItem_WeaponListRiflesShotguns_Common_100YearOld","",0.000000,3,"AllLevels EachItem ",1,0,0,0,""
0x00002B51,"LL_LegendaryItem_WeaponListRiflesShotguns_Rare_100YearOld","",0.000000,3,"AllLevels EachItem ",1,0,0,0,""
0x00002D19,"LL_Spacesuit_UCMarine_LightArmored_AnyPart_AnyQuality","",0.000000,3,"AllLevels EachItem ",3,0,0,0,""
