FormID, EditorID, Name, Model, Value, Weight
0x0000000A, "Digipick", "Digipick", "Items\digipic\DigiPic.nif", "35", "0.000000"
0x0000000F, "Credits", "Credits", "SetDressing\CreditStick\CreditStick_01.nif", "1", "0.000000"
0x0000081C, "AK_Plushy_01", "Plushie Cuddleosaur", "Architecture\City\Akila\Unique\Toys\AK_Plushy_01.nif", "35", "0.200000"
0x00000829, "AK_Plushy_02", "Plushie Xenosnuggle", "Architecture\City\Akila\Unique\Toys\AK_Plushy_02.nif", "35", "0.200000"
0x00000883, "AK_Plushy_03", "Plushie Starpal", "Architecture\City\Akila\Unique\Toys\AK_Plushy_03.nif", "35", "0.200000"
0x0000088B, "AK_Toy_Spaceship_01", "Toy Spaceship", "Architecture\City\Akila\Unique\Toys\AK_Toy_Spaceship_01.nif", "8", "0.100000"
0x00000890, "AntiqueMetalAutoToys01", "Antique Toy Motorcycle", "SetDressing\Earth\Artifacts\AntiqueMetalAutoToys\AntiqueMetalAutoToys01.nif", "655", "0.500000"
0x00000892, "AntiqueMetalAutoToys02", "Antique Toy Motorcycle", "SetDressing\Earth\Artifacts\AntiqueMetalAutoToys\AntiqueMetalAutoToys02.nif", "655", "0.500000"
0x00000894, "AntiqueMetalAutoToys03", "Antique Toy Motorcycle", "SetDressing\Earth\Artifacts\AntiqueMetalAutoToys\AntiqueMetalAutoToys03.nif", "655", "0.500000"
0x00000896, "AntiqueMetalAutoToys04", "Antique Toy Motorcycle", "SetDressing\Earth\Artifacts\AntiqueMetalAutoToys\AntiqueMetalAutoToys04.nif", "655", "0.500000"
0x0000089C, "SpaceShuttleToys", "Toy Space Shuttle", "SetDressing\Earth\Artifacts\SpaceShuttleToys\SpaceShuttleToys.nif", "35", "0.350000"
0x00001403, "DONOTUSE_FakeID", "Dr Reginald Orlase D", "SetDressing\uc_citizencard\DrReginaldOrlase_FakeID.nif", "0", "0.000000"
0x000028A0, "FoodDrink_Set_DrinkPack01_Empty", "Empty Drink Pack", "Items\FoodDrink_Set\FoodDrink_Set_DrinkPack_Empty.nif", "5", "0.050000"
0x000028A1, "FoodDrink_Set_CoffeeBag01_Empty", "Empty Coffee Bag", "Items\FoodDrink_Set\FoodDrink_Set_CoffeeBag01_Empty.nif", "5", "0.050000"
0x000028A2, "FoodDrink_Set_DrinkPack02_Empty", "Empty Drink Pack", "Items\FoodDrink_Set\FoodDrink_Set_DrinkPack02_Empty.nif", "5", "0.050000"
0x000028A3, "FoodDrink_Set_Container01_Empty", "Empty Food Container", "Items\FoodDrink_Set\FoodDrink_Set_Container01_Empty.nif", "10", "0.100000"
0x000028A4, "FoodDrink_Set_Container01_Empty_Lid", "Food Container Lid", "Items\FoodDrink_Set\FoodDrink_Set_Container01_Empty_Lid.nif", "8", "0.050000"
0x000028DF, "InorgUniqueRothicite_NOCLUTTER", "Rothicite", "Landscape\resources\Ore\ResourceRothiciteChunk01.nif", "106", "2.200000"
0x00005568, "InorgCommonLead", "Lead", "Landscape\resources\Ore\ResourceLeadChunk01.nif", "10", "0.700000"
0x00005569, "InorgExoticDysprosium", "Dysprosium", "Landscape\resources\Ore\ResourceDysprosiumChunk01.nif", "56", "1.400000"
