FormID, EditorID, Name, Race, Acbs1, Acbs2, Acbs3, Acbs4, Factions
0x00000007, "Player", "Player", "Human", "0x00000024", "0x00010032", "0x00640000", "0x00000000", "COM_TestMatchPlayerFaction, MQ204SecretDoorFaction, PlayerFaction, SQ_Followers_GroupFormation_Faction(1)"
0x000013B7, "LC175Re939StarStation_AutopilotAI", "", "AutopilotRace", "0x80000000", "0x00320000", "0x00000000", "0x00000023", ""
0x00001BB4, "UC08_PCM_Toliman_Toliman-II_Prey02", "Terrormorph Thrall", "CCT_DummyRace", "0x00000008", "0x00010005", "0x00000000", "0x5F620023", "TerrormorphMindControlFaction"
0x00001BB5, "UC08_PCM_Toliman_Toliman-II_Prey01", "Terrormorph Thrall", "CCT_DummyRace", "0x00000008", "0x00010005", "0x00000000", "0x5F620023", "TerrormorphMindControlFaction"
0x00001BB6, "UC08_PCM_Toliman_Toliman-II_Predator01", "Terrormorph Thrall", "CCT_DummyRace", "0x00000008", "0x00010005", "0x00000000", "0x5F620023", "TerrormorphMindControlFaction"
0x00001BB7, "UC08_PCM_Toliman_Toliman-II_Predator02", "Terrormorph Thrall", "CCT_DummyRace", "0x00000008", "0x00010005", "0x00000000", "0x5F620023", "TerrormorphMindControlFaction"
0x00001BB8, "UC08_1stThrall_PCM_Toliman_Toliman-II_Prey02", "Terrormorph Thrall", "CCT_DummyRace", "0x00000008", "0x00010005", "0x00000000", "0x5F620023", "UC08_TerrormorphMindControlFriendFaction"
0x00001BB9, "UC08_1stThrall_PCM_Toliman_Toliman-II_Prey01", "Terrormorph Thrall", "CCT_DummyRace", "0x00000008", "0x00010005", "0x00000000", "0x5F620023", "UC08_TerrormorphMindControlFriendFaction"
0x00001C42, "EAW_AudioSlateChar_CommanderCreek_AUDIOONLY_NoAppearanceData", "Commander Creek", "Human", "0x00000030", "0x00060000", "0x00000000", "0x00000023", ""
0x00001C43, "EAW_AudioSlateChar_CaptainBales_AUDIOONLY_NoAppearanceData", "Captain Bales", "Human", "0x00000031", "0x00060000", "0x00000000", "0x00000023", ""
0x00001E3D, "LC107_Crew_Liang_Corpse", "Liang", "Human Corpse", "0x02000031", "0x00140005", "0x00000000", "0x7E3E0023", "SQ_Captive_GenericDialogueFaction(255)"
0x00001E3E, "LC107_Crew_Kellner_Corpse", "Kellner", "Human Corpse", "0x02000030", "0x00140005", "0x00000000", "0x7E3E0023", "SQ_Captive_GenericDialogueFaction(255)"
0x00001E3F, "LC107_Crew_Baccara_Corpse", "Baccara", "Human Corpse", "0x02000030", "0x00140005", "0x00000000", "0x7E3E0023", "SQ_Captive_GenericDialogueFaction(255)"
0x00001E40, "LC107_Crew_Mayfield_Corpse", "Mayfield", "Human Corpse", "0x02000030", "0x00140005", "0x00000000", "0x7E3E0023", "SQ_Captive_GenericDialogueFaction(255)"
0x00001EA0, "EncShip_C_Stroud_Vanquisher01_AutopilotAI", "", "AutopilotRace", "0x00000000", "0x001800C3", "0x00000000", "0x44BF0023", ""
0x00001EA2, "EncShip_C_Stroud_Vanquisher02_AutopilotAI", "", "AutopilotRace", "0x00000000", "0x002C0159", "0x00000000", "0x44BF0023", ""
0x00001EA7, "EncShip_C_Stroud_Vanquisher03_AutopilotAI", "", "AutopilotRace", "0x00000000", "0x004001EF", "0x00000000", "0x44BF0023", ""
0x000021B8, "CF06_LvlSyndicate_Unaggressive_F01", "", "Human", "0x00000029", "0x0006000A", "0x00000000", "0x7ECF0023", "CF06_KomikoEuphorikaFaction"
0x00002322, "LvlTurretShort_aggro_LC119Puzzle", "", "LaserTurretRace", "0x00000048", "0x0006000A", "0x00000000", "0x5FEB0023", "MS04TurretPuzzleFaction"
0x00002549, "Combat_B_Generic_Naginata02_Template_AutopilotAI", "", "AutopilotRace", "0x00000010", "0x002600C8", "0x00000000", "0x04BD0023", ""
0x0000254F, "Combat_B_Generic_Naginata03_Template_AutopilotAI", "", "AutopilotRace", "0x00000010", "0x003E0140", "0x00000000", "0x04BD0023", ""
0x000028DD, "LvlTurretShort_CrimsonFleet", "", "LaserTurretRace", "0x00000048", "0x0006000A", "0x00000000", "0x7FFB0023", "CrimeFactionCrimsonFleet"
0x000029A5, "MQ301_LC017_LvlTurretTall", "", "LaserTurretRace", "0x00000048", "0x0006000A", "0x00000000", "0x7FEF0023", "NASARobotFaction"
0x00002D46, "LC102SirenStarsShipNew_Custom_AutopilotAI", "", "AutopilotRace", "0xC0000000", "0x00010000", "0x00000000", "0x00000023", "PlayerFriendFaction"
0x00003232, "Personnel_C_Generic_Vista01_Template_AutopilotAI", "", "AutopilotRace", "0x00000010", "0x00260096", "0x00000000", "0x44BD0023", ""
0x00003A05, "FC_Neon_GenericCustomerF01", "Citizen", "Human", "0x00000009", "0x00010005", "0x00000000", "0x7F5B0023", "CitizenGenericNPCFaction, CrimeFactionNeon, FC_Neon_CustomerFaction"
0x00003A07, "FC_Neon_GenericCustomerF02", "Citizen", "Human", "0x00000009", "0x00010005", "0x00000000", "0x7F5B0023", "CitizenGenericNPCFaction, CrimeFactionNeon, FC_Neon_CustomerFaction"
0x00003A09, "FC_Neon_GenericCustomerM01", "Citizen", "Human", "0x00000008", "0x00010005", "0x00000000", "0x7F5B0023", "CitizenGenericNPCFaction, CrimeFactionNeon, FC_Neon_CustomerFaction"
0x00003A0A, "FC_Neon_GenericCustomerM02", "Citizen", "Human", "0x00000008", "0x00010005", "0x00000000", "0x7F5B0023", "CitizenGenericNPCFaction, CrimeFactionNeon, FC_Neon_CustomerFaction"
0x00003A5A, "LvlRobotModelA_Industrial_Spaceport", "Industrial Robot Model A", "ModelARace", "0x00000108", "0x0006000F", "0x00000000", "0x6F3E0023", ""
0x00003A5B, "LvlRobotModelA_Industrial_Warehouse", "Industrial Robot Model A", "ModelARace", "0x00000108", "0x0006000F", "0x00000000", "0x6F3E0023", ""
0x00003DD8, "UC04_TerrormorphCorpse", "Terrormorph", "TerrormorphRace", "0x00000000", "0x00060014", "0x00000000", "0x00000023", "TerrormorphFaction"
0x00004112, "EITStore_DisplayMannequin_Male03", "", "Mannequin", "0xE0110042", "0x00010000", "0x00000000", "0x12BE0023", ""
0x00004113, "EITStore_DisplayMannequin_Male04", "", "Mannequin", "0xE0110042", "0x00010000", "0x00000000", "0x12BE0023", ""
