FormID, EditorID, Full, Description, Model, FLLD, NAM1, XFLG, Includes, Properties, AttachParentSlots, DataName, AttachPointFormId, AttachPoint, Unknown1, Unknown2, Unknown3
0x00002983,"mod_Legendary_Armor_03_Incendiary","Incendiary","10% chance to ignite nearby attackers.","",1,0,0,0,3,0,"TESObjectARMOR_InstanceData",0x00329ABD,"ap_Legendary_rank_3",0x0000,0x0000,0x00000000
0x00004215,"mod_CCT_Skin_HopperAShardhopper_Crystalline","Hopper Shardhopper Crystalline Skin - RESERVED","Hopper Shardhopper Crystalline Skin - UNIQUE","",1,0,0,0,9,0,"TESNPC_InstanceData",0x002AD3EB,"ap_CCT_Skin",0x0000,0x0000,0x00000000
0x000048A5,"mod_CCT_Special_RL039_SwarmMother","RL039 Swarm Mother","x10 jump mult","",1,0,0,0,3,0,"TESNPC_InstanceData",0x0020AA18,"ap_CCT_Special",0x0000,0x0000,0x00000000
0x00005368,"mod_CCT_Special_RL039_SwarmSisterInterior","RL039 Swarm Sister Interior Speed and Jump Mult","100 SpeedMult and x6 jump mult","",1,0,0,0,3,0,"TESNPC_InstanceData",0x0020AA18,"ap_CCT_Special",0x0000,0x0000,0x00000000
0x00005B84,"mod_CCT_Skin_OctopedeACoralCrawler_GryllobaMelee","Octopede A Coral Crawler Grylloba Melee Special","Octopede Coral Crawler Grylloba Melee","",1,0,0,0,7,0,"TESNPC_InstanceData",0x002AD3EB,"ap_CCT_Skin",0x0000,0x0000,0x00000000
0x00005B87,"mod_CCT_Skin_OctopedeACoralCrawler_GryllobaQueen","Octopede A Coral Crawler Grylloba Queen Special","Octopede Coral Crawler Skin Grylloba Queen","",1,0,0,0,8,0,"TESNPC_InstanceData",0x002AD3EB,"ap_CCT_Skin",0x0000,0x0000,0x00000000
0x000060AA,"mod_Armor_Helmet_Quality_04_CrimsonFleet_Charger","","","",1,0,0,0,5,0,"TESObjectARMOR_InstanceData",0x0011E2C1,"ap_armor_Quality",0x0000,0x0000,0x00000000
0x000060AC,"mod_Armor_Helmet_Quality_03_CrimsonFleet_Charger","","","",1,0,0,0,5,0,"TESObjectARMOR_InstanceData",0x0011E2C1,"ap_armor_Quality",0x0000,0x0000,0x00000000
0x000060AF,"mod_Armor_Helmet_Quality_02_CrimsonFleet_Charger","","","",1,0,0,0,5,0,"TESObjectARMOR_InstanceData",0x0011E2C1,"ap_armor_Quality",0x0000,0x0000,0x00000000
0x000060B0,"mod_Armor_Helmet_Quality_04_CrimsonFleet_Officer","","","",1,0,0,0,5,0,"TESObjectARMOR_InstanceData",0x0011E2C1,"ap_armor_Quality",0x0000,0x0000,0x00000000
0x000060B1,"mod_Armor_Helmet_Quality_03_CrimsonFleet_Officer","","","",1,0,0,0,5,0,"TESObjectARMOR_InstanceData",0x0011E2C1,"ap_armor_Quality",0x0000,0x0000,0x00000000
0x000060B2,"mod_Armor_Helmet_Quality_02_CrimsonFleet_Officer","","","",1,0,0,0,5,0,"TESObjectARMOR_InstanceData",0x0011E2C1,"ap_armor_Quality",0x0000,0x0000,0x00000000
0x00007003,"mod_Legendary_Aspirational_ValueAdjust04","","","",1,0,0,0,1,0,"TESObjectWEAP_InstanceData",0x00000000,"",0x0000,0x0000,0x00000000
0x00007004,"mod_Legendary_Aspirational_ValueAdjust02","","","",1,0,0,0,1,0,"TESObjectWEAP_InstanceData",0x00000000,"",0x0000,0x0000,0x00000000
0x00007005,"mod_Legendary_Aspirational_ValueAdjust01","","","",1,0,0,0,1,0,"TESObjectWEAP_InstanceData",0x00000000,"",0x0000,0x0000,0x00000000
0x00007006,"mod_Legendary_Aspirational_ValueAdjust03","","","",1,0,0,0,1,0,"TESObjectWEAP_InstanceData",0x00000000,"",0x0000,0x0000,0x00000000
0x000079CD,"mod_Shotty_Muzzle_MuzzleBrake","Muzzle Brake","","Weapons\Shotty\shotty_muzzlebrake.nif",1,0,0,1,1,2,"TESObjectWEAP_InstanceData",0x0002249C,"ap_gun_Muzzle",0x0000,0x0000,0x00000000
0x0000ACEA,"BuildableSpaceshipThrusterMod","Buildable Ship Thrusters","uses force, mass, and power on spaceship blueprint parts on this ship to control strafe and rotation speeds","",1,0,0,0,0,0,"Spaceship_InstanceData",0x00001016,"ap_Thrusters",0x0000,0x0000,0x00000000
0x0000C521,"mod_Microgun_Internal_BulletHose","Bullet Hose","","",1,0,0,0,11,0,"TESObjectWEAP_InstanceData",0x00147AFE,"ap_gun_InternalMod",0x0000,0x0000,0x00000000
0x0000CA28,"mod_XM2311_Receiver_Custom","Custom Receiver","","Weapons\M1919\m1919_custom.nif",1,0,0,0,1,11,"TESObjectWEAP_InstanceData",0x00024004,"ap_gun_receiver",0x0000,0x0000,0x00000000
0x0000F46A,"mod_CCT_Skin_OctopedeACoralCrawler_GryllobaRanged","Octopede A Coral Crawler Grylloba Ranged Special","Octopede Coral Crawler Grylloba Ranged Special","",1,0,0,0,7,0,"TESNPC_InstanceData",0x002AD3EB,"ap_CCT_Skin",0x0000,0x0000,0x00000000
0x000117E3,"mod_CCT_Size_Gigantic_Larva","Larva - Gigantic Size","Gigantic Larva at Max LarvaA Size  (x5)","",1,0,0,0,2,0,"TESNPC_InstanceData",0x002AD3EA,"ap_CCT_Size",0x0000,0x0000,0x00000000
