OModFormID, OModEditorID, OModFull, Index, ValueType, FunctionType, PropertyName, Value1, Value2, Step
0x00002983,"mod_Legendary_Armor_03_Incendiary","Incendiary",1,1,1,AVAL,0.120000,0.000000,0.000000
0x00002983,"mod_Legendary_Armor_03_Incendiary","Incendiary",2,4,2,AENC,"ENCH:0000297D Ench_Legendary_Armor_Incendiary",0,0.000000
0x00002983,"mod_Legendary_Armor_03_Incendiary","Incendiary",3,4,2,AKEY,"KYWD:00002981 HasLegendary_Armor_03_Incendiary",0,0.000000
0x00004215,"mod_CCT_Skin_HopperAShardhopper_Crystalline","Hopper Shardhopper Crystalline Skin - RESERVED",1,4,0,NRCE,"RACE:0000A1D7 HopperARace",0,0.000000
0x00004215,"mod_CCT_Skin_HopperAShardhopper_Crystalline","Hopper Shardhopper Crystalline Skin - RESERVED",2,4,0,NSKN,"ARMO:002268A1 Skin_HopperA_Shardhopper",0,0.000000
0x00004215,"mod_CCT_Skin_HopperAShardhopper_Crystalline","Hopper Shardhopper Crystalline Skin - RESERVED",3,4,2,NINV,"WEAP:0000A1DA UnarmedHopperA_Base",0,0.000000
0x00004215,"mod_CCT_Skin_HopperAShardhopper_Crystalline","Hopper Shardhopper Crystalline Skin - RESERVED",4,4,2,NINV,"WEAP:001C7DF4 UnarmedHopperA_Mouth",0,0.000000
0x00004215,"mod_CCT_Skin_HopperAShardhopper_Crystalline","Hopper Shardhopper Crystalline Skin - RESERVED",5,4,2,NKEY,"KYWD:00216F36 CCT_Instance_Name_Hopper",0,0.000000
0x00004215,"mod_CCT_Skin_HopperAShardhopper_Crystalline","Hopper Shardhopper Crystalline Skin - RESERVED",6,4,2,NKEY,"KYWD:0009937A CCT_Instance_Name_Hopper009",0,0.000000
0x00004215,"mod_CCT_Skin_HopperAShardhopper_Crystalline","Hopper Shardhopper Crystalline Skin - RESERVED",7,4,2,NKEY,"KYWD:003E5BF9 ENV_AFFL_Creature_InjuryType_Mouth_Sharp",0,0.000000
0x00004215,"mod_CCT_Skin_HopperAShardhopper_Crystalline","Hopper Shardhopper Crystalline Skin - RESERVED",8,4,2,NKEY,"KYWD:00141506 s_Creature_Skin_02",0,0.000000
0x00004215,"mod_CCT_Skin_HopperAShardhopper_Crystalline","Hopper Shardhopper Crystalline Skin - RESERVED",9,4,2,NMSL,"LMSW:003E9584",0,0.000000
0x000048A5,"mod_CCT_Special_RL039_SwarmMother","RL039 Swarm Mother",1,6,0,NACV,"AVIF:00040CDC JumpMult",15.000000,0.000000
0x000048A5,"mod_CCT_Special_RL039_SwarmMother","RL039 Swarm Mother",2,6,0,NACV,"AVIF:000002DA SpeedMult",50.000000,0.000000
0x000048A5,"mod_CCT_Special_RL039_SwarmMother","RL039 Swarm Mother",3,6,1,NACV,"AVIF:000002D4 Health",3.000000,0.000000
0x00005368,"mod_CCT_Special_RL039_SwarmSisterInterior","RL039 Swarm Sister Interior Speed and Jump Mult",1,6,0,NACV,"AVIF:00040CDC JumpMult",6.000000,0.000000
0x00005368,"mod_CCT_Special_RL039_SwarmSisterInterior","RL039 Swarm Sister Interior Speed and Jump Mult",2,6,0,NACV,"AVIF:000002DA SpeedMult",100.000000,0.000000
0x00005368,"mod_CCT_Special_RL039_SwarmSisterInterior","RL039 Swarm Sister Interior Speed and Jump Mult",3,6,1,NACV,"AVIF:000002D4 Health",1.500000,0.000000
0x00005B84,"mod_CCT_Skin_OctopedeACoralCrawler_GryllobaMelee","Octopede A Coral Crawler Grylloba Melee Special",1,4,0,NRCE,"RACE:00015B13 OctopedeARace",0,0.000000
0x00005B84,"mod_CCT_Skin_OctopedeACoralCrawler_GryllobaMelee","Octopede A Coral Crawler Grylloba Melee Special",2,4,0,NSKN,"ARMO:00025F67 Skin_OctopedeA_CoralCrawler_GryllobaMelee",0,0.000000
0x00005B84,"mod_CCT_Skin_OctopedeACoralCrawler_GryllobaMelee","Octopede A Coral Crawler Grylloba Melee Special",3,4,2,NINV,"WEAP:0022357D UnarmedOctopedeA_Base",0,0.000000
0x00005B84,"mod_CCT_Skin_OctopedeACoralCrawler_GryllobaMelee","Octopede A Coral Crawler Grylloba Melee Special",4,4,2,NKEY,"KYWD:00200B1F CCT_Instance_Name_Octopede",0,0.000000
0x00005B84,"mod_CCT_Skin_OctopedeACoralCrawler_GryllobaMelee","Octopede A Coral Crawler Grylloba Melee Special",5,4,2,NKEY,"KYWD:0009EB6C CCT_Instance_Name_Octopede003",0,0.000000
0x00005B84,"mod_CCT_Skin_OctopedeACoralCrawler_GryllobaMelee","Octopede A Coral Crawler Grylloba Melee Special",6,4,2,NKEY,"KYWD:003E5BF6 ENV_AFFL_Creature_InjuryType_SoleAttack_Sharp",0,0.000000
0x00005B84,"mod_CCT_Skin_OctopedeACoralCrawler_GryllobaMelee","Octopede A Coral Crawler Grylloba Melee Special",7,4,2,NKEY,"KYWD:000F4CF6 s_Creature_Skin_03",0,0.000000
0x00005B87,"mod_CCT_Skin_OctopedeACoralCrawler_GryllobaQueen","Octopede A Coral Crawler Grylloba Queen Special",1,4,0,NRCE,"RACE:00015B13 OctopedeARace",0,0.000000
0x00005B87,"mod_CCT_Skin_OctopedeACoralCrawler_GryllobaQueen","Octopede A Coral Crawler Grylloba Queen Special",2,4,0,NSKN,"ARMO:0004A986 Skin_OctopedeA_CoralCrawler_GryllobaQueen",0,0.000000
0x00005B87,"mod_CCT_Skin_OctopedeACoralCrawler_GryllobaQueen","Octopede A Coral Crawler Grylloba Queen Special",3,6,0,NACV,"AVIF:000002DA SpeedMult",50.000000,0.000000
0x00005B87,"mod_CCT_Skin_OctopedeACoralCrawler_GryllobaQueen","Octopede A Coral Crawler Grylloba Queen Special",4,4,2,NINV,"WEAP:0022357D UnarmedOctopedeA_Base",0,0.000000
0x00005B87,"mod_CCT_Skin_OctopedeACoralCrawler_GryllobaQueen","Octopede A Coral Crawler Grylloba Queen Special",5,4,2,NKEY,"KYWD:00200B1F CCT_Instance_Name_Octopede",0,0.000000
0x00005B87,"mod_CCT_Skin_OctopedeACoralCrawler_GryllobaQueen","Octopede A Coral Crawler Grylloba Queen Special",6,4,2,NKEY,"KYWD:0009EB6C CCT_Instance_Name_Octopede003",0,0.000000
