FormID, EditorID, Name, Description
0x00001301,"perk_Legendary_Armor_CarryWeight_Resources","perk_Legendary_Armor_CarryWeight_Weapon",""
0x0000297F,"Perk_Legendary_Armor_Incendiary","Perk_Legendary_Armor_Incendiary",""
0x000060BB,"MQ106HelixReduceDamage","",""
0x000066AA,"UCR04_HarvestSamplePerk","",""
0x0000851A,"CIty_GG_Mark_ReduceIncomingDamage_75","",""
0x0000851B,"CIty_ER_Exorcism_ReduceIncomingDamage_75","",""
0x000092EC,"CompanionAndEliteCrewActivationMenu","",""
0x0000B964,"PlayerUnityDmgPerk","Player Perk",""
0x00010D73,"UC01_PilotingPerk","Piloting","As more people journey into space, the number of those certified to effectively pilot various types of spacecraft has increased dramatically."
0x00012A50,"ImmuneToEM","ImmuneToEM",""
0x0001BF38,"CREW_Ship_Astrodynamics","Astrodynamics",""
0x0001C06C,"CREW_Ship_Shields","Shield Systems",""
0x00022274,"CREW_Ship_Weapons_EM","EM Weapon Systems",""
0x00024A09,"LC088_Vigilance_RobotsMathisProtectionPerk","",""
0x0002A6FC,"crNoFallDamage","",""
0x0002CC98,"Ship_Starbornship_GravDrive_Perk","Starborn Grav Drive",""
0x0002FD6A,"Perk_Alc_ImprovedSpeechChallengeSuccess_02_Medium","Increased Speech Challenge Success Chance from Alcohol","Increased Speech Challenge Success Chance from Alcohol"
0x0002FD6D,"Perk_Alc_ImprovedSpeechChallengeSuccess_03_High","Increased Speech Challenge Success Chance from Alcohol","Increased Speech Challenge Success Chance from Alcohol"
0x0002FD70,"Perk_Alc_ImprovedSpeechChallengeSuccess_04_VeryHigh","Increased Speech Challenge Success Chance from Alcohol","Increased Speech Challenge Success Chance from Alcohol"
0x000383A7,"Perk_LegendaryWeapon_Tesla","Tesla",""
0x0003905C,"MQ302B_Space_ModIncomingDamageFakeCombatAllyShip","",""
0x00039080,"MQ202ScowReduceDamage","",""
0x0003D5E8,"UC01_DebugBuff_Shields","Shield Systems",""
0x0003D5E9,"UC01_DebugBuff_Weapons","Ballistic Weapon Systems",""
0x0003DF2F,"Noel_VendorPerk","Noel Vendor Perk",""
0x0004297E,"Crew_Outpost_MinibotGarden","Outpost Organics",""
0x0004297F,"Crew_Outpost_MinibotSanitation","Outpost Engineering",""
0x00046D0C,"CCT_IncreaseDamageFromPredatorsForPrey","",""
0x0004C265,"MQ207C_BarakovaPriceModPerk","",""
0x0004CE2D,"Skill_SpecialProjects","Special Projects","Big guns are great, but in the Settled Systems, sometimes the best weapon is simply an old adage: ""Knowledge is Power."""
0x0005489B,"PlayerActivateMinibotTextOverride","Player Activate Mini Bot Text Override","Changes ""Talk"" to ""Activate"" when hovering over Mini Bots."
0x00056055,"UC01_Ally_DamageReductionPerk_c80","",""
0x00056DD7,"PlayerPerk","Player Perk",""
0x00057950,"UCR01_AcelesTeam_IncreaseDamageToTerrormorph","",""
0x00057B59,"UC04_SpaceportGuard_ReduceMorphDamage","",""
0x0005C526,"WellRestedXPBonus","Well Rested","+10% XP earned for a limited time."
0x000612F5,"Perk_Legendary_Armor_Disarm","Perk_Legendary_Armor_Disarm",""
0x000612F7,"Perk_Legendary_Armor_Stagger","Perk_Legendary_Armor_Stagger",""
0x000690B1,"Perk_Legendary_Helmet_ScannerDMG","Perk_Legendary_Helmet_ScannedDMG",""
0x0006B728,"Companion_BasicPerk","Companion Basic Perk",""
0x000738AA,"Perk_Chem_ImprovedSpeechChallengeSuccess25","Increased Speech Challenge Success Chance from Chems","Increased Speech Challenge Success Chance from Chems"
0x000738AB,"Perk_Chem_CompanionAffinityIncreaseFaster","Companion Affinity Increase Faster from Chems","Companion Affinity Increase Faster from Chems"
0x000738AC,"Perk_Chem_ImprovedResearchCritChance","Improved Research Crit Chance from Chems","Improved Research Crit Chance from Chems"
0x000738AD,"Perk_Chem_ReducedResearchCost","Reduced Research Cost from Chems","Reduced Research Cost from Chems"
0x000738AE,"Perk_Chem_DecreasedAccuracy","Decreased Accuracy from Chems","Decreased Accuracy from Chems"
0x00077BF0,"Mod_Weapon_ArmorPiercing","Armor Piercing Rounds",""
0x000782C7,"VSCrimsonFleetReduceDamage","",""
0x0007AA36,"Perk_Chem_ImprovedAccuracy25","Improved Accuracy from Chems","Improved Accuracy from Chems"
0x0007AA37,"Perk_Chem_IncreaseRangedDamage25","Increased Ranged Damage from Chems","Increased Ranged Damage from Chems"
0x0007E95E,"Mod_Weapon_ParticleWeapons","Particle Weapons",""
0x0007F7B1,"Mod_Weapon_DepletedUranium","Depleted Uranium",""
0x00080FCF,"LC165_Starborn_Adversary_DamageModPerk","LC165_Starborn_Adversary_DamageModPerk",""
0x00085FE7,"UC08_HadrianDamageIncrease","",""
0x0008ADCA,"Ship_TargetingModeAutopilotPerk","TargetingMode Autopilot Perk",""
0x0008C3EE,"Skill_BoostAssaultTraining","Boost Assault Training","Combat training with boost packs allows for more shock and awe tactics."
0x0008CB77,"Perk_Chem_IncreaseMeleeDamage25","Increased Melee Damage from Chems","Increased Melee Damage from Chems"
0x00097FBC,"Mod_Weapon_SleepGasMine","Sleep Gas Mine ",""
0x000A2775,"ImmuneToRadiation","",""
0x000A2776,"ImmuneToPoison","",""
0x000A2E5E,"Ship_DebuffedWeaponSystems","DebuffedShipWeapons",""
0x000BA435,"ModFallDamage","","Generic Perk used to hook actor value into falling damage system. Make sure this perk is added to anyone whose actor value you mod to use with this perk."
0x000BE544,"perk_Legendary_Armor_CarryWeight_Weapon","perk_Legendary_Armor_CarryWeight_Weapon",""
0x000BE547,"OLD_perk_Legendary_Armor_LessDMGStandStill","perk_Legendary_Armor_LessDamageStandStill",""
0x000CE860,"OutpostCargoLink_OutpostManagementBuff","Cargo Link Ship capacity buff",""
0x000D00C9,"Skill_TargetingControlSystems_TargetLockedShip","Target Locked Ship",""
0x000D2883,"MS03_JunoActivationPromptPerk","",""
0x000E1A4C,"crDamage20","",""
0x000E74B4,"SpaceCloudPerk_Distortion","",""
0x000E812B,"Mod_Weapon_StabilizingBarrel","Stabilizing Barrel",""
0x000E812C,"Mod_Weapon_StabilizingGrip","Stabilizing Grip",""
0x000E92F2,"Perk_LegendaryWeapon_MagneticField","Perk_LegendaryWeapon_MagneticField",""
0x000EA0B9,"Perk_LegendaryWeapon_Handloading","Handloading",""
0x000EA114,"Perk_LegendaryWeapon_Furious","Furious",""
0x000ECD04,"Perk_LegendaryWeapon_Corrosive_TempPerk","Corrosive Legendary Temp Perk",""
0x000ECD05,"Perk_LegendaryWeapon_Incendiary_TempPerk","Incendiary Legendary Temp Perk",""
0x000ED6DC,"GenericBrawlPreventLimbDamage","","Limb damage is reduced by 100%."
0x000F1C3F,"Perk_LegendaryWeapon_MedTheft","Med-Theft",""
0x000F2010,"MQ101ModIncomingDamageFromMiners","",""
0x000F2011,"Perk_LegendaryWeapon_Instigating","Instigating",""
0x000F2E36,"Perk_LegendaryWeapon_Crippling","Crippling",""
0x000F3EFD,"Perk_LegendaryWeapon_Cornered","Cornered",""
0x000F4556,"Perk_LegendaryWeapon_Shattering","Shattering",""
0x000F731F,"Perk_LegendaryWeapon_SpaceAdept","Space Adept",""
0x000FEAE3,"OE_KT_ModDamageResistancePerk","",""
0x000FFB1B,"LC088_Space_VigilanceDamageReductionPerk","",""
0x000FFDBF,"RI02_PlayerBusinessSuit_Persuasion","Business Suit Persuasion",""
0x0010054F,"Perk_Neuroamp_Common","Perk_Neuroamp_Common",""
0x00101CB2,"PlayerCommonWeaponModPerk","Player Weapon Mod Perk",""
