QuestFormID, QuestEditorID, QuestFull, Index, Flags, NNAM
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","200","0","Go to Gagarin"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","230","0","Speak with Barrett"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","300","0","Speak with Barrett"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","400","0","Speak with the lawyer"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","1000","0","Find Ervin's apartment"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","1100","0","Enter Ervin's apartment"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","1200","0","Search the apartment for evidence"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","1300","0","Discuss evidence with Barrett"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","1500","0","Go to Town Hall"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","1510","0","Look up Ervin's Hunting License"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","1600","0","Speak to the lawyer"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","2000","0","Go to the Foundry District"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","2100","0","Use your account"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","2120","0","Use Ervin's passcode"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","2130","0","Use the employee's account"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","2140","0","Acquire a passcode"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","2155","0","Use the Foundry Terminal"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","2160","0","Use the Admin account"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","2300","0","Get a passcode from an employee"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","2400","0","Speak with Barrett"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","2500","0","Find the mine's coordinates"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","2800","0","Speak with Barrett"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","5000","0","Go to the Hephaestus Mine"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","5100","0","Search for evidence"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","6000","0","Bring evidence to Ellie"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","6300","0","Find Helgi"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","6400","0","Speak to Dr. Keala about Helgi"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","6500","0","Speak to Lizzy about Helgi"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","6650","0","Speak with Barrett"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","6652","0","Distract Chief Dalitso Pretorius"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","6653","0","Hack the UC Security computer"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","6657","0","Speak with Barrett"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","6670","0","(Optional) Search the terminal"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","6700","0","Speak to Clint about Helgi"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","6720","0","Speak to Dalitso about Helgi"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","7000","0","Convince Helgi to testify"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","7100","0","(Optional) Find a potential character witnesses"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","7300","0","Speak with Ellie"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","7400","0","Speak with Barrett on your ship"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","7500","0","Speak to Vladimir"
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","8100","0","Speak with Barrett"
