QuestFormID, QuestEditorID, QuestFull, INDX1, INDX2, NAM2, CNAM
0x0000118F,"MQ_TutorialQuest_Misc06","Misc Pointer to Research","10","43776","Quest Started",""
0x00001190,"MQ_TutorialQuest_Misc05","Misc Pointer to Crafting","10","43776","Quest Started",""
0x000013A8,"SE_Player_Patrol02","Crimson Fleet Patrol","10","29698","Startup Stage",""
0x000013A9,"SE_Player_Patrol03","Ecliptic Patrol","10","29698","Startup Stage",""
0x000013AA,"SE_Player_Patrol04","Varuun Patrol","10","29698","Startup Stage",""
0x000013DD,"SE_AG01","Derelict Ship Template","10","29698","Startup Stage",""
0x000013DD,"SE_AG01","Derelict Ship Template","50","43776","Player has explored this location",""
0x00001736,"UC_NA_CL_ArchivesScene","","100","43776","Scene triggered.",""
0x00001736,"UC_NA_CL_ArchivesScene","","200","43776","Scene complete. Once both NPCs unload, shut things down.",""
0x00001736,"UC_NA_CL_ArchivesScene","","999","43776","Shut it down and clean everyone up. This one isn't turned off via the player's script, though, unlike the others.",""
0x00002C1C,"MB_Bounty01Far","Kill the <Alias=PrimaryRef> on <Alias=TargetPlanetLocation>","5","29760","Ready stage",""
0x00002C1C,"MB_Bounty01Far","Kill the <Alias=PrimaryRef> on <Alias=TargetPlanetLocation>","10","8","Mission Accepted",""
0x00002C1C,"MB_Bounty01Far","Kill the <Alias=PrimaryRef> on <Alias=TargetPlanetLocation>","100","29696","Mission Complete",""
0x00002C1D,"MB_Bounty02Local","Kill the <Alias=PrimaryRef> on <Alias=TargetPlanetLocation>","5","29760","Ready stage",""
0x00002C1D,"MB_Bounty02Local","Kill the <Alias=PrimaryRef> on <Alias=TargetPlanetLocation>","10","8","Mission Accepted",""
0x00002C1D,"MB_Bounty02Local","Kill the <Alias=PrimaryRef> on <Alias=TargetPlanetLocation>","100","29696","Mission Complete",""
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","0","43776","----- SET UP SECTION ----",""
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","1","43776","    DEBUG mode: activated.",""
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","2","43776","DEBUG: Solve temple puzzle",""
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart","3","43776","Puzzle Solved: Go to Temple",""
