QuestFormID, QuestEditorID, QuestFull, INDX1, INDX2, NAM2, CNAM
0x0009084E,"RQ_OE_Scan_02","Planetary Survey","0","43778","",""
0x0009084E,"RQ_OE_Scan_02","Planetary Survey","100","43776","NPC forcegreeted",""
0x0009084E,"RQ_OE_Scan_02","Planetary Survey","300","43776","Scan: Player Declined Quest",""
0x0009084E,"RQ_OE_Scan_02","Planetary Survey","500","43776","Scan: Quest Accepted","<Alias.PluralName=QuestGiver> on <Alias=Planet> are in need of scan data of nearby geological features."
0x0009084E,"RQ_OE_Scan_02","Planetary Survey","600","43776","Scan: Player scanned all Targets. (Completes Objective)","I've completed the geological scans requested by the <Alias.PluralName=QuestGiver>. I should return to them to provide them with the data."
0x0009084E,"RQ_OE_Scan_02","Planetary Survey","700","43776","Scan: Quest Giver is dead. (Fails Quest)","The <Alias.Name=QuestGiver> is dead."
0x0009084E,"RQ_OE_Scan_02","Planetary Survey","900","43776","Scan: Quest Complete","I provided the <Alias.PluralName=QuestGiver> with the scan data that I captured."
0x0009084E,"RQ_OE_Scan_02","Planetary Survey","950","43776","Scan: Player left planet. (Fails Quest)",""
0x0009084E,"RQ_OE_Scan_02","Planetary Survey","990","43776","Scan02: Quest Failed",""
0x00216D3C,"DialogueTrackersAllianceAgents","","20","43776","Debug Stage: Move player to the Akila Trackers Alliance Agent",""
0x00216D3C,"DialogueTrackersAllianceAgents","","21","43776","Debug Stage: Move player to the Neon Trackers Alliance Agent",""
0x00216D3C,"DialogueTrackersAllianceAgents","","22","43776","Debug Stage: Move player to the Cydonia Trackers Alliance Agent",""
0x00216D3C,"DialogueTrackersAllianceAgents","","23","43776","Debug Stage: Move player to the New Atlantis Trackers Alliance Agent",""
0x00216D3C,"DialogueTrackersAllianceAgents","","200","43776","The Trackers Alliance Agent grants the RAD04 quest when the player asks about work",""
0x00216D3C,"DialogueTrackersAllianceAgents","","201","43776","Player got the quest from the Agent in in Akila",""
0x00216D3C,"DialogueTrackersAllianceAgents","","202","43776","Player got the quest from the Agent in in Neon",""
0x00216D3C,"DialogueTrackersAllianceAgents","","203","43776","Player got the quest from the Agent in in Cydonia",""
0x00216D3C,"DialogueTrackersAllianceAgents","","204","43776","Player got the quest from the Agent in in New Atlantis",""
