FormID, EditorID, Full, Summary
0x0000080B,"DebugVideoQuest","",""
0x0000118F,"MQ_TutorialQuest_Misc06","Misc Pointer to Research",""
0x00001190,"MQ_TutorialQuest_Misc05","Misc Pointer to Crafting",""
0x000013A8,"SE_Player_Patrol02","Crimson Fleet Patrol",""
0x000013A9,"SE_Player_Patrol03","Ecliptic Patrol",""
0x000013AA,"SE_Player_Patrol04","Varuun Patrol",""
0x000013DD,"SE_AG01","Derelict Ship Template",""
0x00001736,"UC_NA_CL_ArchivesScene","",""
0x00002C1C,"MB_Bounty01Far","Kill the <Alias=PrimaryRef> on <Alias=TargetPlanetLocation>",""
0x00002C1D,"MB_Bounty02Local","Kill the <Alias=PrimaryRef> on <Alias=TargetPlanetLocation>",""
0x00002FAE,"COM_Quest_Barrett_Q02","Worlds Apart",""
0x000032F6,"MQ207C_AlwaysOn","[Always On Quest - Entangled]",""
0x00003448,"MQ101","One Small Step",""
0x0000351A,"FFNeonZ09","Balancing the Books",""
0x00005790,"MQ00","Important Script Functions and Aliases",""
0x0000637D,"Trait_RaisedEnlightenedBoxEnabler","[Raised Enlightened Lootbox Enabler]",""
0x000068AC,"UC01_Tuala_Misc","Misc pointer to Cmdr. Tuala of the Vanguard",""
0x000068AD,"UC_NA_CL_TolimanScene","",""
0x00006E52,"OE_AustinF_EggThief","",""
0x00006E53,"OE_AustinF_CECSuperfan","",""
0x000078DE,"CREW_EliteCrew_AdoringFan","Adoring Fan",""
0x000078DF,"Traits_Shared","",""
0x00007EAD,"FC_EvidenceSlateHolderQuest","",""
0x00009136,"CF01","Deep Cover",""
0x0000954C,"DialogueCrowdConvo006","Crowd Actor Conversations",""
0x00009948,"Landmark_Dubai","Dubai Landmark Quest",""
0x00009949,"Landmark_Opportunity","London Landmark Quest",""
0x0000994A,"Landmark_London","London Landmark Quest",""
0x00009A2B,"Landmark_LosAngeles","Los Angeles Landmark Quest",""
0x00009A2C,"Landmark_Cairo","Cairo Landmark Quest",""
0x00009E99,"COM_Companion_SarahMorgan","Companion - Sarah Morgan",""
0x0000B0BD,"SE_SD10","Derelict Ship Template",""
0x0000B78A,"FFNewHomesteadZ01Misc","Misc Pointer",""
0x0000CDC1,"Landmark_NewYork","New York Landmark Quest",""
0x0000D5A6,"SE_SD09","Derelict Ship Template",""
