FormID, EditorID, Data
0x00000859,"fCalendarTimeScaleSpace","5.000000"
0x00000DD6,"fPickpocketSkillUsesCurve","0.800000"
0x00000E62,"fBribeCostCurve","1.400000"
0x00000E63,"fBribeScale","0.500000"
0x00000E64,"fBribeSpeechcraftMult","0.100000"
0x000013DF,"fCombatSpaceRangedGunAttackChanceMin","0.100000"
0x00001688,"fIronSightsTimeToMarkTargetSeconds","1.500000"
0x00001CA7,"sSocialSpellFailureMsg","%s attempt failed."
0x0000236B,"fSpaceshipHullHitISModStrength","1.000000"
0x00002867,"fDisplacement","-200.000000"
0x00002868,"fPlanetOceanHeight","-15.000000"
0x00002869,"iCellBlendCount","15"
0x0000286A,"iCellBlendStart","2"
0x00002A37,"fAIDialogueDistance","2.428500"
0x00002A38,"fAIIdleChatterDistance","14.285700"
0x00002A40,"fAIEscortDefaultWaitDistance","3.657100"
0x00002A41,"fAIDistanceRadiusForceToMinLocation","0.357100"
0x000031BE,"fAIMaxHeadTrackDistanceWhileMoving","10.000000"
0x000031BF,"fAIMoveDistanceToRecalcTravelPath","4.286250"
0x000031C0,"fAIMoveDistanceToRecalcFollowPath","4.286250"
0x000031C1,"fCharacterControllerMultipleStepSpeed","0.357188"
0x000031C2,"fVATSChanceConeDistanceMult","5.715000"
0x000031C3,"fSeenDataUpdateRadius","0.357188"
0x000031C4,"fAIMaxHeadTrackDistanceFromPC","30.000000"
0x000031C5,"fAvoidPlayerDistance","1.428750"
0x000031C6,"fAIMoveDistanceToRecalcTravelToActor","1.428750"
0x000031C7,"fAIMaxHeadTrackDistanceFar","50.000000"
0x000031C8,"fAIMaxHeadTrackDistance","6.000000"
0x000031CA,"fObjectHitTwoHandReach","1.600200"
0x000031CB,"fLargeProjectileSize","0.071438"
0x000031CC,"fObjectHitH2HReach","0.914400"
0x000031CD,"fObjectHitWeaponReach","2.143125"
0x000031CE,"fVATSMeleeMaxDistance","5.715000"
0x000031CF,"fVATSMeleeValidDistExtension","2.857500"
0x000031D0,"fVATSStrangerMaxDistance","14.287500"
0x000031D1,"fBumpReactionMaxMoveDist","7.143750"
0x000031D2,"fVATSCameraMissDist","4.286250"
0x000031D3,"fAIPursueDistanceLineOfSight","35.718750"
0x000031D4,"fAIMaxLargeCreatureHeadTrackDistance","150.000000"
0x000031D5,"fVATSTargetMaxNavmeshZOffsetAbove","2.857500"
0x000031D6,"fSceneFillerMaxDistFromPlayer","14.287500"
0x000031D7,"fAIMinLocationHeight","1.428750"
0x000031D8,"fVATSTargetMaxNavmeshZOffsetBelow","0.428625"
0x000031D9,"fAIRandomizeInitialLocationMinRadius","2.857500"
0x000031DA,"fClosetoPlayerDistance","11.430000"
0x000031DB,"fLargeProjectilePickBufferSize","0.057150"
0x000031DC,"fLargeRefMinSize","14.630400"
0x000031DD,"fVATSChanceConeDistanceOffset","4.286250"
0x000031DE,"fSceneFillerMinDistFromPlayer","1.428750"
0x000031E1,"fWorkshopWireMaxLength","15.716250"
0x000031E5,"fTargetSearchRadius","285.750000"
0x000031E6,"fGetMaterialPickHeightOffset","0.914400"
0x000031E7,"fSprayDecalsDistance","0.914400"
0x000031E8,"fSprayDecalsGravity","1.828800"
0x000031E9,"fDefaultFootstepParticleMaxDist","100.000000"
0x000031EA,"fRandomDoorDistance","2.143125"
0x000031EB,"fDragonLandingZoneClearRadius","3.657600"
0x000031EC,"fMagicBallOptimalDistance","14.287500"
0x000031ED,"fMagicBallMaximumDistance","28.575001"
0x000031EE,"fMagicBoltOptimalDistance","14.287500"
0x000031EF,"fMagicBoltMaximumDistance","28.575001"
0x000031F0,"fMagicSprayOptimalDistance","7.143750"
0x000031F1,"fMagicSprayMaximumDistance","14.287500"
0x000031F2,"fMagicFogOptimalDistance","4.286250"
0x000031F3,"fMagicFogMaximumDistance","7.143750"
0x000031F8,"fTriggerAvoidPlayerDistance","5.715000"
0x00003203,"fCommandRunDistance","7.143750"
0x00003204,"fTeammateAggroOnDistancefromPlayer","57.150002"
0x00003205,"fAIAcquireObjectDistance","57.150002"
0x00003206,"fAIFindBedChairsDistance","114.300003"
0x00003207,"iAIMaxSocialDistanceToTriggerEvent","7"
0x00003208,"fAIActivateReach","4.286250"
0x00003209,"fAIActivateHeight","2.857500"
0x0000320A,"fAISpectatorShutdownDistance","14.287500"
0x0000320B,"fDistancetoPlayerforConversations","42.862503"
0x0000320C,"fAIWanderDefaultMinDist","2.857500"
0x0000320D,"iCrimeAlarmRecDistance","57"
0x0000320E,"iCrimeAlarmLowRecDistance","28"
0x0000320F,"fAIDistanceTeammateDrawWeapon","28.575001"
0x00003210,"fAIEscortFastTravelMaxDistFromPath","71.437500"
0x00003211,"fAIBestHeadTrackDistance","7.143750"
0x00003212,"fAISpectatorThreatDistMelee","7.315200"
0x00003213,"fAISpectatorThreatDistRanged","3.657600"
0x00003214,"fAISpectatorThreatDistExplosion","7.315200"
0x00003215,"fAISpectatorThreatDistMine","3.657600"
0x00003216,"fDeadReactionDistance","5.715000"
0x00003217,"fAIIdleAnimationDistance","28.575001"
0x00003218,"fAIAimBlockedHalfCircleRadius","3.571875"
0x00003219,"fGuardWarnApproachDistance","6.429375"
0x0000321A,"fGuardWarnStartApproachDistance","13.573126"
0x0000321B,"fAggroRadiusViolatedCheckProjectileDistance","5.486400"
0x0000321C,"fAmbushOverRideRadiusforPlayerDetection","14.287500"
0x0000321D,"fSandBoxSearchRadius","85.725006"
0x0000321E,"fSandBoxExtraDialogueRange","5.486400"
0x0000321F,"fSandBoxInterMarkerMinDist","1.428750"
0x00003220,"fSandboxGoalTooCloseToPlayer","0.714375"
0x00003221,"fFollowSlowdownZoneWidth","2.143125"
0x00003222,"fFollowMatchSpeedZoneWidth","1.828800"
0x00003223,"fFollowerSpacingAtDoors","0.100000"
0x00003224,"fFollowStartSprintDistance","7.143750"
0x00003229,"fFurnitureEntryHolsterDistance","3.929063"
0x0000322A,"fAIHorseSearchDistance","42.862503"
0x00003254,"fCombatRangedGunSightedDistanceMin","7.315200"
0x00003255,"fCombatRangedGunSightedDistanceMax","10.972800"
0x000032A4,"fCombatChargingFlipThrowRadiusPadding","1.071563"
0x000032A8,"fCombatTargetLocationAvoidNodeRadiusOffset","-0.228600"
0x000032B9,"fCombatMantleCollisionQueryForwardOffsetCover","0.514350"
0x000032BA,"fCombatMantleCollisionQueryForwardOffsetCrouch","0.757238"
0x000032BB,"fCombatMantleCollisionQueryHorizontalOffsetCover","0.214313"
0x000032BC,"fCombatMantleCollisionQueryHorizontalOffsetCrouch","-0.085725"
0x000032C0,"fCombatCoverRangeOffsetMin","0.000000"
0x000032D9,"fCombatCoverChangePositionNarrowEnterDistance","0.914400"
0x000033F2,"fCombatActiveCombatantAttackRangeDistance","7.315200"
0x000033F3,"fDangerousObjectExplosionRadius","1.428750"
0x000033F4,"fMovementTargetAvoidRadius","7.315200"
0x000033F5,"fCombatMissileImpaleDepth","-0.057150"
0x000033F6,"fCombatMissileLimbOffset","0.057150"
0x000033F7,"fCombatMusicNearCombatInnerRadius","35.718750"
0x000033F8,"fCombatMusicNearCombatOuterRadius","50.006252"
0x000033F9,"fCombatLowMaxAttackDistance","29.260801"
0x000033FA,"fAutoAimSightedMaxDistance","85.725006"
0x000033FB,"fIronSightsDOFMaxDist","4000.000000"
0x000033FC,"fIronSightsDOFRateOfChange","7000.000000"
0x000033FF,"fGunShellCameraDistance","7.315200"
0x00003400,"fGunDecalCameraDistance","29.260801"
0x00003401,"fGrenadeAngularVelocityMin","3.657600"
0x00003402,"fGrenadeAngularVelocityMax","14.630401"
0x00003403,"fWeaponClutterKnockMult","10.715626"
0x00003404,"fPhysicsDamageSpeedMin","7.143750"
0x00003405,"fCombatDismemberedLimbVelocity","2.143125"
0x00003406,"fCombatDismemberedHomeRunHeadVelocity","10.715626"
0x00003407,"fArrowMinSpeedForTrails","21.431252"
0x00003408,"fArrowMinDistanceForTrails","4.286250"
0x00003409,"fMissileIgnoreNearCollisionDist","4.286250"
0x0000340A,"fCombatDistanceMin","5.715000"
0x0000340B,"fGunDownCollisionRadiusUp","0.028575"
0x0000340C,"fGunDownCollisionRadiusDown","0.142875"
0x0000340D,"fGunDownCollisionVerticalOffset","0.057150"
0x0000340E,"fCombatPredictDamageExplosionDistance","0.914400"
0x0000340F,"fCombatPredictDamageExplosionAltDistance","2.743200"
0x00003410,"fPerkGrenadeTrajectoryStartHeightOffset","-936.000000"
